Sample_ID,Date,Latitude,Longitude,Density_Score,Sampling_Method,Ocean,Marine_Setting,Concentration_Class,Velocity_E,Velocity_N,Velocity_E_Norm,Velocity_N_Norm,Day_Sin,Day_Cos,Lunar_Phase,Sampling_Method_Day grab,Sampling_Method_Hand picking,Sampling_Method_Manta net,Sampling_Method_Neuston net,Marine_Setting_Beach-Nurdle Patrol,Marine_Setting_Ocean sediment,Marine_Setting_Ocean water,CMEMS_U,CMEMS_V,Node_Cluster_ID
19574,2021-05-26,28.9385,-95.2952,20.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.7255493,-0.30969974,-3.3024242,-1.6148723,0.5891760872322963,-0.8080046647350754,-0.016118658823195794,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.10254219174385071,-0.15442365780472755,13
19694,2021-06-23,29.6827,-85.3105,0.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Very Low,0.18991777,0.16230868,0.85657275,0.8239001,0.14782713347053048,-0.9890132145779883,-0.3351656127922114,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.26612140238285065,-0.22827845066785812,3
19715,2021-06-29,29.1736,-90.0775,7.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.66279984,0.3647186,-3.0173514,1.8697113,0.04514101777397193,-0.9989806246941579,0.8044988348957959,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.15564439818263054,-0.11597033590078354,3
19734,2021-07-06,29.174,-90.0773,42.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,High,0.37427565,-0.07014749,1.6941166,-0.3771541,-0.07518957641475855,-0.9971692572470178,0.6574130799475115,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.20508438348770142,0.1745658740401268,3
19735,2021-07-06,29.1795,-90.067,49.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,High,0.37427565,-0.07014749,1.6941166,-0.3771541,-0.07518957641475855,-0.9971692572470178,0.6574130799475115,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.20508438348770142,0.1745658740401268,26
20525,2022-01-14,43.0994,-124.4322,58.0,Hand picking,Pacific Ocean,Beach-Nurdle Patrol,High,0.15687168,0.10417308,0.7064432,0.5235252,0.23851257519407648,0.9711394088771653,-0.6491711209100147,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.01892147585749626,0.036011841148138046,15
20995,2022-04-26,27.829,-97.0521,6.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.21799983,0.025545433,-0.99661034,0.11727196,0.9111686353326631,-0.41203363695942635,0.838886998489607,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,6
21034,2022-04-28,29.2804,-94.8019,26.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.21753818,0.090332866,-0.9945131,0.45201555,0.8964562582905575,-0.44313223418263453,0.5393775801678716,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,22
21035,2022-04-28,29.2814,-94.8008,29.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.21753818,0.090332866,-0.9945131,0.45201555,0.8964562582905575,-0.44313223418263453,0.5393775801678716,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,22
21036,2022-04-28,29.2812,-94.8006,18.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.21753818,0.090332866,-0.9945131,0.45201555,0.8964562582905575,-0.44313223418263453,0.5393775801678716,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,22
21037,2022-04-28,29.2813,-94.8007,21.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.21753818,0.090332866,-0.9945131,0.45201555,0.8964562582905575,-0.44313223418263453,0.5393775801678716,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,22
