Sample_ID,Date,Latitude,Longitude,Density_Score,Sampling_Method,Ocean,Marine_Setting,Concentration_Class,Velocity_E,Velocity_N,Velocity_E_Norm,Velocity_N_Norm,Day_Sin,Day_Cos,Lunar_Phase,Sampling_Method_Day grab,Sampling_Method_Hand picking,Sampling_Method_Manta net,Sampling_Method_Neuston net,Sampling_Method_plankton net,Sampling_Method_shovel,Marine_Setting_Beach-Nurdle Patrol,Marine_Setting_Ocean sediment,Marine_Setting_Ocean water,CMEMS_U,CMEMS_V,Node_Cluster_ID
10728,2021-04-29,40.910469,0.833376,18.319333,Manta net,Atlantic Ocean,Ocean water,Very High,0.067400575,0.052948494,0.29997307,0.25885805,0.8887010478292915,-0.45848712914008766,0.4988843332925021,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.017700735479593277,0.020142216235399246,17
10736,2021-04-28,41.575135,2.553135,0.930667,Manta net,Atlantic Ocean,Ocean water,Medium,-0.10950279,0.01531262,-0.5037048,0.064401075,0.8964562582905575,-0.44313223418263453,0.3046227127699051,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0006103701889514923,-0.006103701889514923,58
10737,2021-05-09,41.575135,2.553135,0.184,Manta net,Atlantic Ocean,Ocean water,Medium,-0.18338853,0.33254415,-0.8393701,1.7034725,0.7971015927871943,-0.6038452208771035,0.47203229189711354,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.03479110077023506,0.036011841148138046,58
10756,2021-04-18,41.263153,1.963507,0.590667,Manta net,Atlantic Ocean,Ocean water,Medium,0.082278855,-0.09833051,0.36756557,-0.5227701,0.9590788900341131,-0.28313898122818354,-0.9695650302192468,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.003662221133708954,-0.0634784996509552,56
10757,2021-05-05,41.263153,1.963507,1.834667,Manta net,Atlantic Ocean,Ocean water,High,0.31249008,0.06302435,1.4134227,0.31091797,0.8367329140344921,-0.5476112038402312,0.9740917161572236,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.017700735479593277,-0.03479110077023506,56
10764,2021-04-18,41.175724,1.526081,0.181333,Manta net,Atlantic Ocean,Ocean water,Medium,0.082278855,-0.09833051,0.36756557,-0.5227701,0.9590788900341131,-0.28313898122818354,-0.9695650302192468,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.020142216235399246,72
10772,2021-03-24,42.377821,3.158952,0.122667,Manta net,Atlantic Ocean,Ocean water,Medium,-0.13194804,0.11953859,-0.60567427,0.60291564,0.9897936029670716,0.14250832791617088,-0.7540305771583236,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.006714072078466415,0.0048829615116119385,32
10773,2021-04-02,42.377821,3.158952,0.420667,Manta net,Atlantic Ocean,Ocean water,Medium,-0.027041662,-0.10108969,-0.12908113,-0.5370262,0.9999300657962057,-0.011826390691832589,0.8727176644547883,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.006714072078466415,0.0048829615116119385,32
10776,2021-05-17,42.377821,3.158952,0.452667,Manta net,Atlantic Ocean,Ocean water,Medium,-0.4140327,0.05524539,-1.8871942,0.27072567,0.7067265555776158,-0.7074868024503348,-0.9358117753270294,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.029908139258623123,-0.025635547935962677,32
10785,2021-04-11,41.403637,2.2193,12.002667,Manta net,Atlantic Ocean,Ocean water,Very High,-0.16834892,-0.024485426,-0.7710447,-0.14122741,0.986146248341595,-0.16587819893463143,0.1651725793753527,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0006103701889514923,-0.048829615116119385,117
