Sample_ID,Date,Latitude,Longitude,Morphology,Plastic_Count,Velocity_E,Velocity_N,Velocity_E_Norm,Velocity_N_Norm,Is_Interpolated,Day_Sin,Day_Cos,Lunar_Phase,Morph_Fiber,Morph_Fragment,Node_Cluster_ID
13854,2021-09-07,52.125667,-39.173667,Fragment,0.03114,0.30672148,0.37056276,1.4083154949775296,1.8755314321742516,True,-0.9164086366943458,-0.4002439388573056,-0.12038439923142533,0.0,1.0,2
14342,2021-01-06,60.432333,1.321667,Fragment,0.029562,3.6091205e-05,0.19220164,1.3667391589850332e-05,0.9640430828783104,True,0.10303137904317879,0.9946781061893646,0.9991434504931119,0.0,1.0,4
14351,2021-01-12,56.5545,-6.550167,Fragment,0.021947,-0.00035465378,1.7985244e-10,-0.0017806367930916474,-0.018175213416528703,True,0.20496611396949532,0.9787690698649216,0.2501077677874785,0.0,1.0,8
14352,2021-01-12,56.481167,-6.682667,Fragment,0.028302,-0.00035465378,1.7985244e-10,-0.0017806367930916474,-0.018175213416528703,True,0.20496611396949532,0.9787690698649216,0.2501077677874785,0.0,1.0,9
14353,2021-01-12,56.385,-6.797,Fragment,0.009662,-0.00035465378,1.7985244e-10,-0.0017806367930916474,-0.018175213416528703,True,0.20496611396949532,0.9787690698649216,0.2501077677874785,0.0,1.0,0
14354,2021-01-12,56.3265,-6.715167,Fragment,0.127074,-0.00035465378,1.7985244e-10,-0.0017806367930916474,-0.018175213416528703,True,0.20496611396949532,0.9787690698649216,0.2501077677874785,0.0,1.0,10
14835,2021-02-27,52.5205,-13.4998,Fragment,30.6,-0.051590618,-0.025071513,-0.2370566058657017,-0.14629950509318523,True,0.8402480696078469,0.5422021592729844,0.10957034093503049,0.0,1.0,6
19574,2021-05-26,28.9385,-95.2952,Fiber,,-0.8101443,-0.16685379,-3.7203413521002777,-0.8708570410749615,True,0.5891760872322963,-0.8080046647350754,-0.016118658823195794,1.0,0.0,1
19715,2021-06-29,29.1736,-90.0775,Fragment,,-0.11665097,0.18246831,-0.5358142773184812,0.9143023271864159,True,0.04514101777397193,-0.9989806246941579,0.8044988348957959,0.0,1.0,12
19734,2021-07-06,29.174,-90.0773,Fragment,,0.37427565,-0.07014749,1.7185247991959454,-0.37665367571418057,True,-0.07518957641475855,-0.9971692572470178,0.6574130799475115,0.0,1.0,5
19735,2021-07-06,29.1795,-90.067,Fragment,,0.37427565,-0.07014749,1.7185247991959454,-0.37665367571418057,True,-0.07518957641475855,-0.9971692572470178,0.6574130799475115,0.0,1.0,11
20525,2022-01-14,43.0994,-124.4322,Fragment,,0.15687168,0.10417308,0.7202039809841114,0.5141860353037117,True,0.23851257519407648,0.9711394088771653,-0.6491711209100147,0.0,1.0,3
20995,2022-04-26,27.829,-97.0521,Fragment,,-0.21799983,0.025545433,-1.0012090759508916,0.11237097508737091,True,0.9111686353326631,-0.41203363695942635,0.838886998489607,0.0,1.0,7
