Sample_ID,Date,Latitude,Longitude,Density_Score,Sampling_Method,Ocean,Marine_Setting,Concentration_Class,Velocity_E,Velocity_N,Velocity_E_Norm,Velocity_N_Norm,Day_Sin,Day_Cos,Lunar_Phase,Sampling_Method_Day grab,Sampling_Method_Hand picking,Sampling_Method_Manta net,Sampling_Method_Neuston net,Marine_Setting_Beach-Nurdle Patrol,Marine_Setting_Ocean sediment,Marine_Setting_Ocean water,Node_Cluster_ID
13877,2021-06-07,64.328167,-22.139667,0.649773,Manta net,Atlantic Ocean,Ocean water,Medium,-0.00059759145,0.00082233717,-0.008944849,-0.010467296,0.4110537546870351,-0.9116111071930239,0.5683405391998784,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10
14342,2021-01-06,60.432333,1.321667,0.029562,Neuston net,Atlantic Ocean,Ocean water,Medium,3.6091205e-05,0.19220164,-0.0060660066,0.97835106,0.10303137904317879,0.9946781061893646,0.9991434504931119,0.0,0.0,0.0,1.0,0.0,0.0,1.0,12
14350,2021-01-12,56.724833,-6.3945,0.054027,Neuston net,Atlantic Ocean,Ocean water,Medium,-0.00035465378,1.7985244e-10,-0.0078411745,-0.014716145,0.20496611396949532,0.9787690698649216,0.2501077677874785,0.0,0.0,0.0,1.0,0.0,0.0,1.0,45
14351,2021-01-12,56.5545,-6.550167,0.021947,Neuston net,Atlantic Ocean,Ocean water,Medium,-0.00035465378,1.7985244e-10,-0.0078411745,-0.014716145,0.20496611396949532,0.9787690698649216,0.2501077677874785,0.0,0.0,0.0,1.0,0.0,0.0,1.0,69
14352,2021-01-12,56.481167,-6.682667,0.028302,Neuston net,Atlantic Ocean,Ocean water,Medium,-0.00035465378,1.7985244e-10,-0.0078411745,-0.014716145,0.20496611396949532,0.9787690698649216,0.2501077677874785,0.0,0.0,0.0,1.0,0.0,0.0,1.0,69
14353,2021-01-12,56.385,-6.797,0.009662,Neuston net,Atlantic Ocean,Ocean water,Medium,-0.00035465378,1.7985244e-10,-0.0078411745,-0.014716145,0.20496611396949532,0.9787690698649216,0.2501077677874785,0.0,0.0,0.0,1.0,0.0,0.0,1.0,22
14354,2021-01-12,56.3265,-6.715167,0.127074,Neuston net,Atlantic Ocean,Ocean water,Medium,-0.00035465378,1.7985244e-10,-0.0078411745,-0.014716145,0.20496611396949532,0.9787690698649216,0.2501077677874785,0.0,0.0,0.0,1.0,0.0,0.0,1.0,88
14355,2021-01-13,56.166333,-6.064333,0.046953,Neuston net,Atlantic Ocean,Ocean water,Medium,-0.00012786778,-1.7045701e-10,-0.006810878,-0.0147161465,0.22177215755648186,0.975098513039961,0.04001217260580949,0.0,0.0,0.0,1.0,0.0,0.0,1.0,39
14356,2021-01-13,56.073,-6.6375,0.015236,Neuston net,Atlantic Ocean,Ocean water,Medium,-0.00012786778,-1.7045701e-10,-0.006810878,-0.0147161465,0.22177215755648186,0.975098513039961,0.04001217260580949,0.0,0.0,0.0,1.0,0.0,0.0,1.0,88
14359,2021-01-15,58.189333,-7.186333,0.027897,Neuston net,Atlantic Ocean,Ocean water,Medium,0.07284369,0.18693015,0.3247013,0.9511143,0.2551824131233728,0.9668929289391521,-0.37603596885469,0.0,0.0,0.0,1.0,0.0,0.0,1.0,42
