Sample_ID,Date,Latitude,Longitude,Density_Score,Sampling_Method,Ocean,Marine_Setting,Concentration_Class,Velocity_E,Velocity_N,Velocity_E_Norm,Velocity_N_Norm,Day_Sin,Day_Cos,Lunar_Phase,Sampling_Method_Day grab,Sampling_Method_Hand picking,Sampling_Method_Manta net,Sampling_Method_Neuston net,Sampling_Method_plankton net,Sampling_Method_shovel,Marine_Setting_Beach-Nurdle Patrol,Marine_Setting_Ocean sediment,Marine_Setting_Ocean water,CMEMS_U,CMEMS_V,Node_Cluster_ID
10776,2021-05-17,42.377821,3.158952,0.452667,Manta net,Atlantic Ocean,Ocean water,Medium,-0.4140327,0.05524539,-1.8871942,0.27072567,0.7067265555776158,-0.7074868024503348,-0.9358117753270294,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.029908139258623123,-0.025635547935962677,36
10785,2021-04-11,41.403637,2.2193,12.002667,Manta net,Atlantic Ocean,Ocean water,Very High,-0.16834892,-0.024485426,-0.7710447,-0.14122741,0.986146248341595,-0.16587819893463143,0.1651725793753527,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0006103701889514923,-0.048829615116119385,60
10786,2021-04-25,41.403637,2.2193,2.192667,Manta net,Atlantic Ocean,Ocean water,High,0.06747116,-0.11340295,0.30029374,-0.6006463,0.9181214482844364,-0.39629913726891813,-0.32287329817708044,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.07019257172942162,-0.029908139258623123,60
10787,2021-05-08,41.403637,2.2193,0.754,Manta net,Atlantic Ocean,Ocean water,Medium,-0.25703123,-0.0715168,-1.1739314,-0.38422903,0.8073707443023492,-0.5900444739548627,0.6475488117410523,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.016479995101690292,-0.03662221133708954,60
10808,2021-04-06,41.397303,2.21315,3.161333,Manta net,Atlantic Ocean,Ocean water,High,-0.06906551,-0.9286269,-0.31999686,-4.812744,0.9967506498213929,-0.08054900421874167,0.9424140769876832,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.04150517284870148,-0.02929776906967163,149
10809,2021-04-14,41.397303,2.21315,0.177333,Manta net,Atlantic Ocean,Ocean water,Medium,0.20702533,-0.05401971,0.9342929,-0.2938251,0.9762766110869321,-0.21652708524481437,-0.45500080203735027,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.04150517284870148,-0.0238044373691082,149
10810,2021-04-17,41.397303,2.21315,2.855333,Manta net,Atlantic Ocean,Ocean water,High,0.45810196,-0.35700664,2.0749424,-1.8592975,0.9638074231367307,-0.26659942067929354,-0.8960005025572876,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.015259254723787308,-0.07568590342998505,149
10811,2021-05-04,41.397303,2.21315,3.239333,Manta net,Atlantic Ocean,Ocean water,High,0.1622443,-0.13486391,0.73085123,-0.7115308,0.8460288880917339,-0.533137056031809,0.9998820655202254,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01831110566854477,-0.05615405738353729,149
10812,2021-05-08,41.397303,2.21315,2.733333,Manta net,Atlantic Ocean,Ocean water,High,-0.25703123,-0.0715168,-1.1739314,-0.38422903,0.8073707443023492,-0.5900444739548627,0.6475488117410523,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.016479995101690292,-0.03662221133708954,149
10813,2021-05-13,41.397303,2.21315,7.64,Manta net,Atlantic Ocean,Ocean water,High,-0.3882601,-0.34958255,-1.7701083,-1.8209387,0.753697664392914,-0.6572212950663319,-0.3517876776485592,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05066072568297386,0.009155552834272385,149
10814,2021-05-22,41.397303,2.21315,5.009333,Manta net,Atlantic Ocean,Ocean water,High,0.25629908,0.22680141,1.1581452,1.1571211,0.6433365204044917,-0.765583517007675,-0.7625166540680969,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.04516739398241043,0.025025177747011185,149
10818,2021-04-23,41.465446,2.282388,1.280667,Manta net,Atlantic Ocean,Ocean water,High,-0.055707924,-0.046256453,-0.2593129,-0.25371394,0.9312100364121947,-0.3644830148102912,-0.6847795995801477,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,14
10819,2021-05-22,41.465446,2.282388,2.916,Manta net,Atlantic Ocean,Ocean water,High,0.25629908,0.22680141,1.1581452,1.1571211,0.6433365204044917,-0.765583517007675,-0.7625166540680969,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,14
10820,2021-01-02,41.389383,2.203525,2.314667,Manta net,Atlantic Ocean,Ocean water,High,0.17135297,0.024967855,0.7722322,0.11428773,0.03439806061360801,0.9994082116062598,0.689728538034363,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,197
10830,2021-04-11,41.849824,3.147244,0.953333,Manta net,Atlantic Ocean,Ocean water,Medium,-0.16834892,-0.024485426,-0.7710447,-0.14122741,0.986146248341595,-0.16587819893463143,0.1651725793753527,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01342814415693283,-0.024414807558059692,72
10831,2021-05-02,41.849824,3.147244,0.504,Manta net,Atlantic Ocean,Ocean water,Medium,0.49965057,0.22108106,2.263699,1.1275651,0.8638670987837349,-0.503719798736334,0.917049366372649,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.035401470959186554,-0.023194067180156708,72
10838,2021-01-02,41.373055,2.191604,1.564667,Manta net,Atlantic Ocean,Ocean water,High,0.20111658,0.027811406,0.90744925,0.12897979,0.03439806061360801,0.9994082116062598,0.689728538034363,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.04028443247079849,-0.05615405738353729,140
13769,2021-07-04,38.710667,17.685833,0.232273,Manta net,Atlantic Ocean,Ocean water,Medium,-0.27370295,0.018415129,-1.2496715,0.08043111,-0.04084439154329611,-0.9991655196610109,0.9098481397604204,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05005035549402237,0.09704886004328728,49
13770,2021-07-04,38.42,16.913333,0.111062,Manta net,Atlantic Ocean,Ocean water,Medium,-0.27370295,0.018415129,-1.2496715,0.08043111,-0.04084439154329611,-0.9991655196610109,0.9098481397604204,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11535996571183205,0.08850367739796638,49
13771,2021-07-08,37.595333,15.204667,0.498871,Manta net,Atlantic Ocean,Ocean water,Medium,-0.1256152,-0.105065815,-0.57690394,-0.55757004,-0.10944576864891556,-0.993992768446958,0.28771790300373623,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.004272591322660446,-0.001831110566854477,47
13772,2021-07-08,37.962667,15.4195,0.171999,Manta net,Atlantic Ocean,Ocean water,Medium,-0.1256152,-0.105065815,-0.57690394,-0.55757004,-0.10944576864891556,-0.993992768446958,0.28771790300373623,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.059205908328294754,-0.3112887963652611,105
13783,2021-09-11,42.3425,6.501,0.262782,Manta net,Atlantic Ocean,Ocean water,Medium,0.24214819,-0.03599376,1.0938572,-0.20068863,-0.9417589340994617,-0.33628873017668287,-0.8258747936015726,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08239997550845146,0.14709921553730965,19
13784,2021-09-11,42.039,6.942333,0.614031,Manta net,Atlantic Ocean,Ocean water,Medium,0.24214819,-0.03599376,1.0938572,-0.20068863,-0.9417589340994617,-0.33628873017668287,-0.8258747936015726,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02929776906967163,-0.005493331700563431,82
13785,2021-09-12,41.150333,7.9905,0.148626,Manta net,Atlantic Ocean,Ocean water,Medium,-0.09769044,-0.23141877,-0.45004085,-1.2104102,-0.9474042892438845,-0.32003923622313857,-0.9263185674879545,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0714133121073246,-0.08362071588635445,102
