Node_ID,Lat,Lon
0,29.19563576373075,-94.94818549498865
1,8.816639000000022,78.16663900000061
2,43.06917058821882,-124.43730000000002
3,40.910469000000056,0.8333760000000006
4,33.710519092217055,-118.06443078715435
5,52.21252999999986,-12.49151000000001
6,29.15819999999989,-90.1022000000003
7,45.718039815968645,-123.94157652065996
8,28.02499999999985,-96.8931999999988
9,38.583332999999975,15.772999999999989
10,29.01569999999998,-80.88060000000003
11,21.223749180327868,-97.41849999999985
12,36.86749999999999,-121.82069999999997
13,38.33716699999999,-28.489332999999984
14,29.65296806150814,-95.0092736111632
15,41.40363699999998,2.2193000000000027
16,29.3095795995789,-94.76098095266208
17,58.471499999999935,-6.685166999999993
18,28.615166999999985,-72.51949999999998
19,64.32816699999994,-22.13966699999998
20,29.673699999999908,-94.04389999999974
21,28.691600000000072,-96.24330000000008
22,41.98933299999998,7.451332999999996
23,52.52050000000008,-13.499800000000036
24,27.415612328767057,-97.30121232876702
25,43.238689769030536,-124.39072148169245
26,28.260099999999973,-96.56669999999993
27,29.764462164751638,-95.36537078544232
28,60.63449999999987,-0.6094999999999987
29,8.493266999999967,78.12782199999972
30,29.12713970699152,-95.0595107293098
31,29.26701193257763,-94.82439732801215
32,42.83299999999987,-124.55670000000057
33,29.666299999999982,-81.21130000000005
34,27.632200000000008,-97.19339999999949
35,9.07649999999999,78.3651000000001
36,41.849824,3.1472439999999997
37,29.211699999999873,-95.2081999999995
38,28.39180000000001,-80.59580000000004
39,29.53247888257661,-95.00929038826001
40,19.6826,-96.39669999999998
41,8.63407200000003,78.1175470000007
42,28.136699999999816,-96.75789999999976
43,29.761399999999977,-95.07980000000073
44,45.23359999982562,-123.9710000000301
45,30.129332999999992,-72.64116699999998
46,43.10257611515169,-124.43320987454914
47,38.71066699999999,17.68583299999999
48,27.91558316221765,-96.99716262833664
49,38.585166999999956,0.5886669999999994
50,28.938500000000094,-95.2952000000001
51,56.326499999999875,-6.715166999999985
52,36.573100000000025,-121.9713000000001
53,38.38516699999996,15.223666999999983
54,29.27989322250649,-94.8024203060168
55,29.596299989221745,-94.98690001332939
56,29.4674,-94.6023999999999
57,28.710799999999992,-95.91449999999996
58,36.84216699999996,15.347666999999982
59,43.34782000000001,-124.32203200000002
60,29.32937804381133,-94.73062426860314
61,29.23492397583492,-94.88234442949852
62,40.73099999999996,8.047832999999992
63,42.37782099999999,3.1589519999999993
64,29.237399999999987,-89.98250000000006
65,41.26315300000001,1.9635069999999997
66,38.782,15.92250000000001
67,58.042166999999935,-5.6959999999999935
68,45.457699999999974,-123.96870000000003
69,29.294626492593945,-94.78081527817271
70,28.301000000000084,-96.47750000000048
71,8.744239000000006,78.17049699999941
72,29.47260000000005,-94.92499999999971
73,42.34249999999995,6.500999999999993
74,29.18179982344986,-90.06330028401396
75,42.742000000000054,-124.49120000000018
76,28.73790000000004,-96.40179999999987
77,57.754999999999875,-7.688666999999983
78,8.85792200000005,78.16711699999995
79,28.223525371743605,-96.63026194238519
80,27.981700000000064,-96.93809999999964
81,29.25124686346349,-94.85267564576849
82,27.849400000000017,-97.04249999999983
83,29.595499999999962,-95.08970000000014
84,28.049399999999903,-96.86630000000005
85,28.175100000000057,-96.70459999999981
86,41.57513499999999,2.5531349999999993
87,29.182235223031327,-94.97081966420883
88,43.21070000000008,-124.39549999999927
89,45.687525537975034,-123.93980972833259
90,29.08359999999996,-95.1172999999999
91,43.42416842107302,-124.29307543856916
92,56.166332999999874,-6.064332999999987
93,38.336832999999984,15.521666999999997
94,37.59533299999991,15.204666999999967
95,38.372499999999995,15.758167000000002
96,42.03899999999991,6.9423329999999845
97,29.365745714285705,-94.81224571428571
98,29.215804806650304,-94.91419347251554
99,58.46799999999994,-5.523166999999994
100,43.25079999999945,-124.3875999999999
101,41.46544599999999,2.282387999999999
102,28.010600000000053,-96.90800000000024
