Actual_E,Actual_N,Pred_E,Pred_N,Error_KM
0.24214819,-0.03599376,0.16409437,-0.14252585,14.7016115
0.18055452,-0.1576707,0.14343415,-0.046686612,13.027481
-0.0053873495,-0.09495973,0.104139045,-0.045480736,13.378886
-0.0053873495,-0.09495973,0.073346436,-0.043304592,10.482575
0.15893115,-0.009223719,0.12976427,-0.05210208,5.772842
0.27290052,-0.10214893,0.156994,-0.044534914,14.408823
3.6091205e-05,0.19220164,0.023666447,0.06292919,14.629059
-0.06809988,0.05348737,0.009615792,0.046070136,8.690621
-0.06809988,0.05348737,0.0064739864,0.047760032,8.326011
-0.06809988,0.05348737,0.011821391,0.052414395,8.897637
0.4433377,-0.08787149,0.023851482,0.07137675,49.94891
-7.9594545e-05,1.0610529e-10,0.0024837237,0.065046154,7.246558
-7.9594545e-05,1.0610529e-10,0.016206646,0.06954398,7.9510903
0.08784905,-0.018356193,-0.007483581,0.01340883,11.186041
-0.3575457,-0.20838189,-0.20486203,0.087753914,37.089565
0.1498504,-0.07520206,0.08652559,-0.019395137,9.396123
-0.06910605,-0.09193787,-0.13296406,-0.055771105,8.169615
-0.64625144,0.044669446,-0.36924505,-0.09289461,34.429462
-0.4187887,0.07187765,-0.35606238,-0.098805614,20.242914
-0.9677735,-0.2648587,-0.20145036,-0.10351973,87.17724
-0.7358618,-0.13271269,-0.17094631,-0.12737897,62.889194
-0.9677735,-0.2648587,-0.20145036,-0.10351973,87.17724
0.05891291,0.2402263,-0.0877233,-0.09412634,40.6423
0.37427565,-0.07014749,0.09551048,-0.060811795,31.049536
-0.7193341,-0.15431517,-0.18356006,-0.085153304,60.137245
-0.026445493,0.13795908,-0.016695904,0.1417868,1.1659724
-0.04384178,0.32233608,0.08569087,0.14462683,24.480097
0.046153955,0.04632072,0.35510802,-0.16389702,41.599155
0.021757912,-0.0013702345,0.1580377,-0.0432366,15.870412
-0.33310306,-0.11237285,-0.3075963,-0.05812984,6.67261
-0.34416014,-0.0012421679,-0.28521144,-0.07431463,10.451361
-0.120360106,-0.025954993,-0.15237226,-0.13303567,12.441498
-0.120360106,-0.025954993,-0.16912957,-0.1268022,12.470136
-0.120360106,-0.025954993,-0.16912957,-0.1268022,12.470136
-0.120360106,-0.025954993,-0.1733189,-0.12524383,12.526793
-0.120360106,-0.025954993,-0.1733189,-0.12524383,12.526793
-0.120360106,-0.025954993,-0.1733189,-0.12524383,12.526793
-0.120360106,-0.025954993,-0.1733189,-0.12524383,12.526793
-0.120360106,-0.025954993,-0.1733189,-0.12524383,12.526793
-0.111092374,-0.10778919,-0.24161649,-0.09748573,14.575145
-0.19025497,-0.10518847,-0.17009118,-0.14153512,4.627027
-0.19025497,-0.10518847,-0.17993599,-0.12285703,2.2777371
-0.26412287,-0.23249717,-0.17073205,-0.14191891,14.4828415
-0.19025497,-0.10518847,-0.15981957,-0.13854618,5.026749
-0.26412287,-0.23249717,-0.17073205,-0.14191891,14.4828415
-0.26412287,-0.23249717,-0.16489081,-0.14406496,14.796458
-0.26412287,-0.23249717,-0.16686736,-0.143337,14.687564
-0.26412287,-0.23249717,-0.17049585,-0.1420214,14.493796
-0.26412287,-0.23249717,-0.16686736,-0.143337,14.687564
-0.26412287,-0.23249717,-0.17073205,-0.14191891,14.4828415
-0.26412287,-0.23249717,-0.17073205,-0.14191891,14.4828415
-0.26412287,-0.23249717,-0.17073205,-0.14191891,14.4828415
-0.26412287,-0.23249717,-0.18156035,-0.143773,13.491573
-0.26412287,-0.23249717,-0.18156034,-0.14377297,13.491578
-0.26412287,-0.23249717,-0.18066967,-0.12990221,14.722113
-0.26412287,-0.23249717,-0.17073205,-0.14191891,14.4828415
-0.26412287,-0.23249717,-0.17501108,-0.1361727,14.6076765
-0.19025497,-0.10518847,-0.1698112,-0.13007548,3.5853186
-0.19025497,-0.10518847,-0.15981957,-0.13854618,5.026749
-0.26412287,-0.23249717,-0.16686863,-0.139187,15.003515
-0.111092374,-0.10778919,-0.2552195,-0.096741356,16.091297
-0.26412287,-0.23249717,-0.18205555,-0.13949376,13.807575
-0.26412287,-0.23249717,-0.18156035,-0.143773,13.491573
-0.26412287,-0.23249717,-0.18156035,-0.143773,13.491573
-0.26412287,-0.23249717,-0.16654275,-0.14347732,14.703689
-0.26412287,-0.23249717,-0.16654275,-0.14347732,14.703689
-0.26412287,-0.23249717,-0.1685193,-0.14274935,14.597237
-0.26412287,-0.23249717,-0.1685193,-0.14274935,14.597237
-0.26412287,-0.23249717,-0.16654275,-0.14347732,14.703689
-0.26412287,-0.23249717,-0.1685193,-0.14274935,14.597237
-0.26412287,-0.23249717,-0.1685193,-0.14274935,14.597237
-0.26412287,-0.23249717,-0.1685193,-0.14274935,14.597237
-0.26412287,-0.23249717,-0.16489081,-0.14406496,14.796458
-0.26412287,-0.23249717,-0.16654275,-0.14347732,14.703689
-0.26412287,-0.23249717,-0.16686736,-0.143337,14.687564
-0.19025497,-0.10518847,-0.15816766,-0.13913387,5.199831
-0.26412287,-0.23249717,-0.17917585,-0.12676455,15.098285
-0.26412287,-0.23249717,-0.17851095,-0.13427866,14.504222
-0.26412287,-0.23249717,-0.17735797,-0.13417348,14.597653
-0.26412287,-0.23249717,-0.17735797,-0.13417348,14.597653
-0.33098474,-0.26213348,-0.18297178,-0.14942239,20.710196
-0.33098474,-0.26213348,-0.18297178,-0.14942239,20.710196
-0.33098474,-0.26213348,-0.18722582,-0.14792846,20.438488
-0.33098474,-0.26213348,-0.17063022,-0.1482019,21.897518
-0.33098474,-0.26213348,-0.1928378,-0.14915718,19.866245
-0.26412287,-0.23249717,-0.16489081,-0.14406496,14.796458
0.02160067,-0.07243218,-0.18421276,-0.14975433,24.474678
0.25685963,-0.086407535,-0.1763544,-0.13227457,48.494926
-0.16631362,-0.0304563,-0.289044,-0.041047834,13.713126
-0.05119151,0.08099978,-0.2781496,-0.07472273,30.640205
