Actual_E,Actual_N,Pred_E,Pred_N,Error_KM
0.60251087,1.7356353,0.7935861,1.4020717,42.793007
0.14659731,0.32163754,-0.19670607,1.0620427,90.85084
-0.7062803,0.26156473,-0.8386817,0.18794742,16.864021
-0.7486227,0.98153067,-0.1967061,1.0620427,62.08963
0.422968,-0.8740625,-0.057860717,0.11815464,122.73963
-1.0338486,0.80921346,-0.8386817,0.18794744,72.4916
-0.66648144,-0.4225067,-0.8386818,0.18794742,70.607704
0.49394652,0.5318514,-0.057860717,0.11815464,76.77338
1.3183519,1.0792819,0.79358596,1.4020715,68.58363
0.4339459,1.1054056,0.7935861,1.4020717,51.89851
0.4252025,1.0164467,-0.19670604,1.0620426,69.41667
-0.7266915,0.2608474,-0.8386818,0.18794742,14.875384
-1.1368382,-0.21032807,-0.8386817,0.18794742,55.383316
-0.15705529,-0.06375473,-0.057860687,0.11815466,23.065168
0.24613447,1.4683233,-0.19670607,1.0620426,66.90062
-0.8884173,-0.41657233,-0.8386817,0.18794742,67.52251
0.045206655,0.0056645465,-0.057860717,0.11815464,16.983835
-0.15257579,-0.50429463,-0.057860717,0.11815464,70.08865
-1.3982594,0.0004914389,-0.8386818,0.18794745,65.694534
-0.44491974,0.46859574,-0.19670607,1.0620426,71.6082
-0.14710496,1.7156814,0.7935861,1.4020717,110.3838
