Actual_E,Actual_N,Pred_E,Pred_N,Error_KM
-1.6305718,-1.0913833,-0.91118366,-0.047312602,141.14406
-0.99630743,1.6587298,-0.33446923,-1.1488047,321.10135
-0.24060784,-0.1442556,0.585228,-0.5778651,103.8337
-0.7617982,-0.1720777,-1.4523051,-0.9182974,113.17711
-0.09537488,-0.38350582,0.7548412,-0.9869668,116.06318
-3.3492742,-0.70041585,-1.9732194,-1.4146717,172.58865
-0.99661034,0.11727196,-1.5055296,-0.32302725,74.91284
-0.4388924,-0.26463306,-0.45033637,-0.40201905,15.346775
0.21444555,0.9601932,0.0141214505,0.36603373,69.799965
0.4199226,2.018957,0.06130878,0.31930363,193.37105
-0.5530299,-0.14882037,-0.48534444,-0.42579725,31.74036
-0.46334392,0.30772248,-0.12542602,0.3635754,38.12739
-0.84482014,-0.7314433,-0.8992711,-0.602745,15.55621
-0.954714,-0.6811201,-0.77863955,-0.72850335,20.297937
-1.7327372,-1.1022505,-1.5198687,-0.86569107,35.425884
-0.70611906,0.7201082,0.0053179413,0.23448664,95.88853
-0.35952392,-1.7681178,-0.7436093,-0.6915702,127.24009
-0.53894687,-1.4732175,-1.3130133,-0.11937624,173.60443
1.3755047,-0.8327649,0.28192487,-0.44164807,129.28894
-1.1405295,-0.28934744,-0.7436093,-0.6915702,62.90603
-0.8687812,1.6674503,-0.44548532,1.9801266,58.58287
-1.5376675,-0.58567446,-1.3130133,-0.11937624,57.61856
0.11166079,-0.055977836,-0.54830897,-0.516407,89.58011
-1.2737097,0.36432928,-1.487028,-0.9054396,143.33148
0.72612953,-0.16960734,-0.003032431,0.27474338,95.05482
0.16550127,0.49168688,0.0053179413,0.23448664,33.730263
-1.5519701,-1.1412822,-0.5248855,-0.60434985,129.01595
-2.3021505,-0.8035386,-0.5816755,-0.5248128,194.02032
0.23264459,0.14048961,0.06130878,0.31930363,27.568375
0.70787555,-0.39845473,-0.34981185,-0.45129588,117.8886
-0.5997515,-0.9371471,0.0107637495,0.39572793,163.2
-0.45066383,0.46649,0.0053179413,0.23448664,56.952442
-1.9778262,-0.84921205,-0.94576067,-0.90296656,115.04528
-0.69859403,0.087623484,0.0053179413,0.23448664,80.046814
-1.3896201,0.8062502,-0.4727997,-0.5167733,179.18547
-0.77932096,2.241007,0.3068585,1.0232394,181.65105
-1.6772126,-1.715235,-0.7303568,-0.6766118,156.45407
2.2368994,0.49453706,-0.40256384,1.6331279,319.9972
