Actual_E,Actual_N,Pred_E,Pred_N,Error_KM
0.106378436,0.25746357,-0.07810963,-0.05080877,39.99281
-0.051590618,-0.025071513,-0.07810963,-0.05080877,4.113819
-0.7255493,-0.30969974,-0.07810963,-0.05080877,77.62147
-0.17097259,-0.25689468,-0.07810963,-0.05080877,25.162981
-0.120360106,-0.025954993,-0.07810963,-0.05080877,5.4567385
-0.111092374,-0.10778919,-0.07810963,-0.05080877,7.3290753
-0.120360106,-0.025954993,-0.07810963,-0.05080877,5.4567385
-0.120360106,-0.025954993,-0.07810963,-0.05080877,5.4567385
-0.120360106,-0.025954993,-0.07810963,-0.05080877,5.4567385
-0.120360106,-0.025954993,-0.07810963,-0.05080877,5.4567385
-0.120360106,-0.025954993,-0.07810963,-0.05080877,5.4567385
-0.120360106,-0.025954993,-0.07810963,-0.05080877,5.4567385
-0.120360106,-0.025954993,-0.07810963,-0.05080877,5.4567385
-0.120360106,-0.025954993,-0.07810963,-0.05080877,5.4567385
-0.120360106,-0.025954993,-0.07810963,-0.05080877,5.4567385
-0.120360106,-0.025954993,-0.07810963,-0.05080877,5.4567385
-0.08032694,-0.08790241,-0.07810963,-0.05080877,4.136635
