Epoch,Train_Loss,Val_Loss
0,0.6824328899383545,0.3456982374191284
1,0.5621300339698792,0.6466333866119385
2,0.5862665176391602,0.35878169536590576
3,0.4721544682979584,0.564477264881134
4,0.4262976050376892,0.4483797550201416
5,0.40801525115966797,0.4634377062320709
6,0.402778685092926,0.46605536341667175
7,0.4153828024864197,0.3226264417171478
8,0.42523303627967834,0.32131630182266235
9,0.39556217193603516,0.32380399107933044
10,0.39058053493499756,0.35367709398269653
11,0.38169801235198975,0.28962066769599915
12,0.33912894129753113,0.48801326751708984
13,0.36966434121131897,0.32968518137931824
14,0.37044212222099304,0.26149895787239075
15,0.37647321820259094,0.3233220875263214
16,0.3642653822898865,0.2590256333351135
17,0.3107725977897644,0.4389325976371765
18,0.3740101754665375,0.22621095180511475
19,0.3646430969238281,0.3193729519844055
20,0.33745476603507996,0.3889358639717102
21,0.33388248085975647,0.36854639649391174
22,0.36353495717048645,0.29756391048431396
23,0.3631017208099365,0.29544270038604736
24,0.31938114762306213,0.4299648702144623
25,0.3514356017112732,0.37365037202835083
26,0.3381754755973816,0.38343125581741333
27,0.3728564381599426,0.315706729888916
28,0.3413417637348175,0.400486558675766
29,0.324351966381073,0.3688388466835022
30,0.32281285524368286,0.36174726486206055
31,0.3479185700416565,0.24517574906349182
32,0.345954567193985,0.2604753077030182
33,0.33815014362335205,0.2959425151348114
34,0.3225686252117157,0.39005139470100403
35,0.3673008382320404,0.19819457828998566
36,0.3439783453941345,0.21705393493175507
37,0.32650378346443176,0.3202114701271057
38,0.35528048872947693,0.237662672996521
39,0.3141133189201355,0.3483774662017822
40,0.3250713050365448,0.3443467617034912
41,0.3078984022140503,0.4677538573741913
42,0.31958720088005066,0.3591872453689575
43,0.3169345259666443,0.3548854887485504
44,0.32312527298927307,0.26537424325942993
45,0.3115842342376709,0.3205105662345886
46,0.35228198766708374,0.2902144491672516
47,0.3290368616580963,0.25757020711898804
48,0.32834911346435547,0.3444288671016693
49,0.3203081488609314,0.33626288175582886
50,0.3211287260055542,0.31151679158210754
51,0.3376312255859375,0.3131278455257416
52,0.3067578673362732,0.3960587978363037
53,0.31740355491638184,0.3363857865333557
54,0.3326406180858612,0.2797497808933258
55,0.27846792340278625,0.4297608733177185
56,0.33089184761047363,0.33855506777763367
57,0.3074379563331604,0.37120264768600464
58,0.33333373069763184,0.2202589213848114
59,0.31681743264198303,0.27986621856689453
60,0.3032158613204956,0.29781684279441833
61,0.29474616050720215,0.3222666382789612
62,0.30205827951431274,0.34652748703956604
63,0.3205978572368622,0.32677769660949707
64,0.29679691791534424,0.322800874710083
65,0.3031322658061981,0.295915812253952
66,0.28078263998031616,0.342072993516922
67,0.28168123960494995,0.35713139176368713
68,0.29595285654067993,0.37140172719955444
69,0.3267165720462799,0.24455317854881287
70,0.2955172061920166,0.3212133049964905
71,0.31216126680374146,0.26201149821281433
72,0.30846256017684937,0.3056856393814087
73,0.3124353885650635,0.17240102589130402
74,0.30173638463020325,0.34033203125
75,0.29637664556503296,0.27580639719963074
76,0.2980288565158844,0.2789466679096222
77,0.308371365070343,0.2569243907928467
78,0.29644155502319336,0.2411448359489441
79,0.3232334852218628,0.2965465188026428
80,0.3155655860900879,0.31737571954727173
81,0.30976441502571106,0.25508740544319153
82,0.2673887014389038,0.32448309659957886
83,0.28226664662361145,0.26214712858200073
84,0.2991770803928375,0.2904016375541687
85,0.3031855523586273,0.2635011076927185
86,0.32549095153808594,0.15421651303768158
87,0.31820979714393616,0.2306806445121765
88,0.3173966109752655,0.19028623402118683
89,0.28566592931747437,0.3646111786365509
90,0.3222750127315521,0.19569045305252075
91,0.29105761647224426,0.2452400028705597
92,0.28859731554985046,0.32816311717033386
93,0.3017972707748413,0.23550091683864594
94,0.3122232258319855,0.2395435869693756
95,0.34131860733032227,0.12565173208713531
96,0.30041223764419556,0.23945803940296173
97,0.2840283513069153,0.30379530787467957
98,0.29971230030059814,0.2431044578552246
99,0.3026222884654999,0.26338350772857666
100,0.3056086599826813,0.2808836102485657
101,0.2997424602508545,0.18011286854743958
102,0.26724639534950256,0.3681635856628418
103,0.29056742787361145,0.2414662390947342
104,0.29283255338668823,0.31710124015808105
105,0.2985256016254425,0.21811023354530334
106,0.3194626271724701,0.24474330246448517
107,0.29855307936668396,0.2503320872783661
108,0.30925703048706055,0.17412501573562622
109,0.30266430974006653,0.2660982608795166
110,0.2868175208568573,0.27912697196006775
111,0.331236869096756,0.22368916869163513
112,0.29111525416374207,0.3131301999092102
113,0.2840281128883362,0.2698783278465271
114,0.3174532353878021,0.21690137684345245
115,0.31040236353874207,0.20074009895324707
116,0.29764631390571594,0.23131971061229706
117,0.2887336313724518,0.1807812601327896
118,0.27341002225875854,0.3833277225494385
119,0.31871744990348816,0.24040551483631134
120,0.30305016040802,0.24023890495300293
121,0.28386056423187256,0.2792189121246338
122,0.31557902693748474,0.2144233137369156
123,0.297633558511734,0.25291845202445984
124,0.28019893169403076,0.3075643479824066
125,0.2986081540584564,0.24136096239089966
126,0.27800166606903076,0.25276291370391846
127,0.2765096127986908,0.27026429772377014
128,0.28534361720085144,0.27674996852874756
129,0.3170698881149292,0.17586225271224976
130,0.27017971873283386,0.3315238654613495
131,0.30763930082321167,0.22835367918014526
132,0.2735733389854431,0.28957289457321167
133,0.26425501704216003,0.43380340933799744
134,0.2954723536968231,0.2502410113811493
135,0.2782211899757385,0.41768547892570496
136,0.3166254758834839,0.2204950451850891
137,0.3093537986278534,0.20917236804962158
138,0.3043776750564575,0.2589825987815857
139,0.29297325015068054,0.22071422636508942
140,0.3025777041912079,0.21972784399986267
141,0.2828986346721649,0.29932159185409546
142,0.3150619864463806,0.18413525819778442
143,0.2911800444126129,0.2794848680496216
144,0.27676692605018616,0.32713374495506287
145,0.28688937425613403,0.24273326992988586
146,0.3000876009464264,0.21991461515426636
147,0.3096550703048706,0.13878050446510315
148,0.29508116841316223,0.2163473665714264
149,0.30055540800094604,0.25433647632598877
