antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,fisher_p_value
frozenset({'Setting_Ocean sediment'}),frozenset({'Method_Day grab'}),0.01015228426395939,0.01015228426395939,0.01015228426395939,1.0,98.50000000000001,1.0,0.010049215388183153,inf,1.0,1.0,1.0,1.0,0.005076142131979695
frozenset({'Method_Day grab'}),frozenset({'Setting_Ocean sediment'}),0.01015228426395939,0.01015228426395939,0.01015228426395939,1.0,98.50000000000001,1.0,0.010049215388183153,inf,1.0,1.0,1.0,1.0,0.005076142131979695
"frozenset({'Class_High', 'Setting_Ocean water'})",frozenset({'Method_Manta net'}),0.04568527918781726,0.19289340101522842,0.04568527918781726,1.0,5.184210526315789,1.0,0.036872890308948955,inf,0.8457446808510639,0.23684210526315788,1.0,0.618421052631579,1.593366568500307e-07
frozenset({'Method_Manta net'}),"frozenset({'Class_High', 'Setting_Ocean water'})",0.19289340101522842,0.04568527918781726,0.04568527918781726,0.23684210526315788,5.184210526315789,1.0,0.036872890308948955,1.2504813583056187,1.0,0.23684210526315788,0.20030795072788354,0.618421052631579,1.593366568500307e-07
"frozenset({'Setting_Ocean water', 'Class_Medium'})",frozenset({'Method_plankton net'}),0.20812182741116753,0.030456852791878174,0.030456852791878174,0.14634146341463414,4.804878048780488,1.0,0.02411811693163957,1.1357505438723714,1.0000000000000002,0.14634146341463414,0.11952496488315667,0.573170731707317,5.9810729576050715e-05
frozenset({'Method_plankton net'}),"frozenset({'Setting_Ocean water', 'Class_Medium'})",0.030456852791878174,0.20812182741116753,0.030456852791878174,1.0,4.804878048780488,1.0,0.02411811693163957,inf,0.8167539267015708,0.14634146341463414,1.0,0.573170731707317,5.9810729576050715e-05
frozenset({'Method_Neuston net'}),"frozenset({'Setting_Ocean water', 'Class_Medium'})",0.03553299492385787,0.20812182741116753,0.03553299492385787,1.0,4.804878048780488,1.0,0.02813780308691283,inf,0.8210526315789474,0.17073170731707318,1.0,0.5853658536585366,1.0960081335925527e-05
"frozenset({'Setting_Ocean water', 'Class_Medium'})",frozenset({'Method_Neuston net'}),0.20812182741116753,0.03553299492385787,0.03553299492385787,0.17073170731707318,4.804878048780488,1.0,0.02813780308691283,1.163033741415348,1.0,0.17073170731707318,0.14017971758664957,0.5853658536585366,1.0960081335925527e-05
frozenset({'Method_Neuston net'}),frozenset({'Setting_Ocean water'}),0.03553299492385787,0.25888324873096447,0.03553299492385787,1.0,3.8627450980392157,1.0,0.026334097760828675,inf,0.768421052631579,0.13725490196078433,1.0,0.5686274509803921,5.644105947595766e-05
frozenset({'Setting_Ocean water'}),frozenset({'Method_Neuston net'}),0.25888324873096447,0.03553299492385787,0.03553299492385787,0.13725490196078433,3.8627450980392157,1.0,0.026334097760828675,1.117904937701892,1.0,0.13725490196078433,0.10546955624355007,0.5686274509803921,5.644105947595766e-05
"frozenset({'Method_Manta net', 'Class_Medium'})",frozenset({'Setting_Ocean water'}),0.14213197969543148,0.25888324873096447,0.14213197969543148,1.0,3.8627450980392157,1.0,0.1053363910433147,inf,0.863905325443787,0.5490196078431373,1.0,0.7745098039215687,1.1542529037647325e-20
"frozenset({'Class_High', 'Method_Manta net'})",frozenset({'Setting_Ocean water'}),0.04568527918781726,0.25888324873096447,0.04568527918781726,1.0,3.8627450980392157,1.0,0.03385812569249401,inf,0.7765957446808511,0.1764705882352941,1.0,0.5882352941176471,2.9737255507800574e-06
frozenset({'Setting_Ocean water'}),frozenset({'Method_Manta net'}),0.25888324873096447,0.19289340101522842,0.19289340101522842,0.7450980392156863,3.8627450980392157,1.0,0.14295653070164138,3.166341272940258,1.0,0.7450980392156863,0.6841780737452213,0.8725490196078431,7.334332800730505e-30
frozenset({'Method_plankton net'}),frozenset({'Setting_Ocean water'}),0.030456852791878174,0.25888324873096447,0.030456852791878174,1.0,3.8627450980392157,1.0,0.022572083794996006,inf,0.7643979057591623,0.11764705882352941,1.0,0.5588235294117647,0.00023956094133128697
frozenset({'Method_Manta net'}),frozenset({'Setting_Ocean water'}),0.19289340101522842,0.25888324873096447,0.19289340101522842,1.0,3.8627450980392157,1.0,0.14295653070164138,inf,0.918238993710692,0.7450980392156863,1.0,0.8725490196078431,7.334332800730505e-30
frozenset({'Setting_Ocean water'}),"frozenset({'Method_Manta net', 'Class_Medium'})",0.25888324873096447,0.14213197969543148,0.14213197969543148,0.5490196078431373,3.8627450980392157,1.0,0.1053363910433147,1.9022290885014348,1.0,0.5490196078431373,0.47430096298874586,0.7745098039215687,1.1542529037647325e-20
"frozenset({'Method_Neuston net', 'Class_Medium'})",frozenset({'Setting_Ocean water'}),0.03553299492385787,0.25888324873096447,0.03553299492385787,1.0,3.8627450980392157,1.0,0.026334097760828675,inf,0.768421052631579,0.13725490196078433,1.0,0.5686274509803921,5.644105947595766e-05
"frozenset({'Method_plankton net', 'Class_Medium'})",frozenset({'Setting_Ocean water'}),0.030456852791878174,0.25888324873096447,0.030456852791878174,1.0,3.8627450980392157,1.0,0.022572083794996006,inf,0.7643979057591623,0.11764705882352941,1.0,0.5588235294117647,0.00023956094133128697
frozenset({'Setting_Ocean water'}),"frozenset({'Method_Neuston net', 'Class_Medium'})",0.25888324873096447,0.03553299492385787,0.03553299492385787,0.13725490196078433,3.8627450980392157,1.0,0.026334097760828675,1.117904937701892,1.0,0.13725490196078433,0.10546955624355007,0.5686274509803921,5.644105947595766e-05
frozenset({'Setting_Ocean water'}),"frozenset({'Method_plankton net', 'Class_Medium'})",0.25888324873096447,0.030456852791878174,0.030456852791878174,0.11764705882352941,3.8627450980392153,1.0,0.022572083794996006,1.0988155668358714,1.0,0.11764705882352941,0.08992916538343085,0.5588235294117647,0.00023956094133128697
frozenset({'Setting_Ocean water'}),frozenset({'Method_plankton net'}),0.25888324873096447,0.030456852791878174,0.030456852791878174,0.11764705882352941,3.8627450980392153,1.0,0.022572083794996006,1.0988155668358714,1.0,0.11764705882352941,0.08992916538343085,0.5588235294117647,0.00023956094133128697
frozenset({'Setting_Ocean water'}),"frozenset({'Class_High', 'Method_Manta net'})",0.25888324873096447,0.04568527918781726,0.04568527918781726,0.1764705882352941,3.8627450980392153,1.0,0.03385812569249401,1.1588107324147934,1.0,0.1764705882352941,0.13704630788485606,0.5882352941176471,2.9737255507800574e-06
frozenset({'Method_Manta net'}),"frozenset({'Setting_Ocean water', 'Class_Medium'})",0.19289340101522842,0.20812182741116753,0.14213197969543148,0.736842105263158,3.540436456996149,1.0,0.10198665258058698,3.009137055837564,0.8890386343216531,0.5490196078431373,0.6676788124156546,0.7098844672657254,1.399773247125382e-16
"frozenset({'Setting_Ocean water', 'Class_Medium'})",frozenset({'Method_Manta net'}),0.20812182741116753,0.19289340101522842,0.14213197969543148,0.6829268292682927,3.540436456996149,1.0,0.10198665258058698,2.5454900429519722,0.9061355311355311,0.5490196078431373,0.6071483356342998,0.7098844672657254,1.399773247125382e-16
"frozenset({'Method_Neuston net', 'Setting_Ocean water'})",frozenset({'Class_Medium'}),0.03553299492385787,0.6446700507614214,0.03553299492385787,1.0,1.5511811023622046,1.0,0.012625937282589088,inf,0.36842105263157887,0.05511811023622047,1.0,0.5275590551181102,0.043561791588305046
frozenset({'Class_Medium'}),"frozenset({'Method_Neuston net', 'Setting_Ocean water'})",0.6446700507614214,0.03553299492385787,0.03553299492385787,0.05511811023622047,1.5511811023622046,1.0,0.012625937282589088,1.0207275803722504,0.9999999999999999,0.05511811023622047,0.02030667219229175,0.5275590551181102,0.043561791588305046
frozenset({'Class_Medium'}),frozenset({'Method_Neuston net'}),0.6446700507614214,0.03553299492385787,0.03553299492385787,0.05511811023622047,1.5511811023622046,1.0,0.012625937282589088,1.0207275803722504,0.9999999999999999,0.05511811023622047,0.02030667219229175,0.5275590551181102,0.043561791588305046
frozenset({'Method_Neuston net'}),frozenset({'Class_Medium'}),0.03553299492385787,0.6446700507614214,0.03553299492385787,1.0,1.5511811023622046,1.0,0.012625937282589088,inf,0.36842105263157887,0.05511811023622047,1.0,0.5275590551181102,0.043561791588305046
"frozenset({'Class_Medium', 'Method_Hand picking'})",frozenset({'Setting_Beach-Nurdle Patrol'}),0.43147208121827413,0.7309644670050761,0.43147208121827413,1.0,1.3680555555555556,1.0,0.11608132134298749,inf,0.4732142857142859,0.5902777777777778,1.0,0.7951388888888888,3.2351927782377836e-17
"frozenset({'Setting_Beach-Nurdle Patrol', 'Class_Medium'})",frozenset({'Method_Hand picking'}),0.43147208121827413,0.7309644670050761,0.43147208121827413,1.0,1.3680555555555556,1.0,0.11608132134298749,inf,0.4732142857142859,0.5902777777777778,1.0,0.7951388888888888,3.2351927782377836e-17
"frozenset({'Setting_Beach-Nurdle Patrol', 'Class_High'})",frozenset({'Method_Hand picking'}),0.17258883248730963,0.7309644670050761,0.17258883248730963,1.0,1.3680555555555556,1.0,0.046432528537194984,inf,0.3251533742331289,0.2361111111111111,1.0,0.6180555555555556,6.999107893944388e-06
"frozenset({'Class_High', 'Method_Hand picking'})",frozenset({'Setting_Beach-Nurdle Patrol'}),0.17258883248730963,0.7309644670050761,0.17258883248730963,1.0,1.3680555555555556,1.0,0.046432528537194984,inf,0.3251533742331289,0.2361111111111111,1.0,0.6180555555555556,6.999107893944388e-06
frozenset({'Method_Hand picking'}),frozenset({'Setting_Beach-Nurdle Patrol'}),0.7309644670050761,0.7309644670050761,0.7309644670050761,1.0,1.3680555555555556,1.0,0.1966554149810611,inf,1.0,1.0,1.0,1.0,2.3708269719849387e-49
frozenset({'Setting_Beach-Nurdle Patrol'}),frozenset({'Method_Hand picking'}),0.7309644670050761,0.7309644670050761,0.7309644670050761,1.0,1.3680555555555556,1.0,0.1966554149810611,inf,1.0,1.0,1.0,1.0,2.3708269719849387e-49
frozenset({'Setting_Beach-Nurdle Patrol'}),"frozenset({'Class_Low', 'Method_Hand picking'})",0.7309644670050761,0.07614213197969544,0.07614213197969544,0.10416666666666669,1.3680555555555556,1.0,0.020484939060527202,1.0312832015110378,1.0,0.10416666666666669,0.030334249084249098,0.5520833333333334,0.007378144921700996
frozenset({'Method_Hand picking'}),"frozenset({'Class_Low', 'Setting_Beach-Nurdle Patrol'})",0.7309644670050761,0.07614213197969544,0.07614213197969544,0.10416666666666669,1.3680555555555556,1.0,0.020484939060527202,1.0312832015110378,1.0,0.10416666666666669,0.030334249084249098,0.5520833333333334,0.007378144921700996
frozenset({'Setting_Beach-Nurdle Patrol'}),"frozenset({'Class_High', 'Method_Hand picking'})",0.7309644670050761,0.17258883248730963,0.17258883248730963,0.2361111111111111,1.3680555555555556,1.0,0.046432528537194984,1.0831564374711584,1.0,0.2361111111111111,0.07677232447171098,0.6180555555555556,6.999107893944388e-06
frozenset({'Method_Hand picking'}),"frozenset({'Setting_Beach-Nurdle Patrol', 'Class_High'})",0.7309644670050761,0.17258883248730963,0.17258883248730963,0.2361111111111111,1.3680555555555556,1.0,0.046432528537194984,1.0831564374711584,1.0,0.2361111111111111,0.07677232447171098,0.6180555555555556,6.999107893944388e-06
frozenset({'Method_Hand picking'}),"frozenset({'Setting_Beach-Nurdle Patrol', 'Class_Medium'})",0.7309644670050761,0.43147208121827413,0.43147208121827413,0.5902777777777778,1.3680555555555556,1.0,0.11608132134298749,1.3875935644842121,1.0000000000000002,0.5902777777777778,0.27932787698412703,0.7951388888888888,3.2351927782377836e-17
frozenset({'Setting_Beach-Nurdle Patrol'}),"frozenset({'Class_Medium', 'Method_Hand picking'})",0.7309644670050761,0.43147208121827413,0.43147208121827413,0.5902777777777778,1.3680555555555556,1.0,0.11608132134298749,1.3875935644842121,1.0000000000000002,0.5902777777777778,0.27932787698412703,0.7951388888888888,3.2351927782377836e-17
"frozenset({'Class_Low', 'Method_Hand picking'})",frozenset({'Setting_Beach-Nurdle Patrol'}),0.07614213197969544,0.7309644670050761,0.07614213197969544,1.0,1.3680555555555556,1.0,0.020484939060527202,inf,0.29120879120879123,0.10416666666666669,1.0,0.5520833333333334,0.007378144921700996
"frozenset({'Class_Low', 'Setting_Beach-Nurdle Patrol'})",frozenset({'Method_Hand picking'}),0.07614213197969544,0.7309644670050761,0.07614213197969544,1.0,1.3680555555555556,1.0,0.020484939060527202,inf,0.29120879120879123,0.10416666666666669,1.0,0.5520833333333334,0.007378144921700996
frozenset({'Method_Hand picking'}),frozenset({'Class_Low'}),0.7309644670050761,0.08121827411167512,0.07614213197969544,0.10416666666666669,1.2825520833333337,1.0,0.016774459532582664,1.025616810293944,0.8188679245283025,0.10344827586206898,0.02497697974217314,0.5208333333333334,0.007378144921700996
frozenset({'Setting_Beach-Nurdle Patrol'}),frozenset({'Class_Low'}),0.7309644670050761,0.08121827411167512,0.07614213197969544,0.10416666666666669,1.2825520833333337,1.0,0.016774459532582664,1.025616810293944,0.8188679245283025,0.10344827586206898,0.02497697974217314,0.5208333333333334,0.007378144921700996
"frozenset({'Setting_Beach-Nurdle Patrol', 'Method_Hand picking'})",frozenset({'Class_Low'}),0.7309644670050761,0.08121827411167512,0.07614213197969544,0.10416666666666669,1.2825520833333337,1.0,0.016774459532582664,1.025616810293944,0.8188679245283025,0.10344827586206898,0.02497697974217314,0.5208333333333334,0.007378144921700996
frozenset({'Class_Low'}),frozenset({'Method_Hand picking'}),0.08121827411167512,0.7309644670050761,0.07614213197969544,0.9375000000000001,1.2825520833333335,1.0,0.016774459532582664,4.30456852791879,0.2397790055248621,0.10344827586206898,0.7676886792452835,0.5208333333333334,0.007378144921700996
frozenset({'Class_Low'}),frozenset({'Setting_Beach-Nurdle Patrol'}),0.08121827411167512,0.7309644670050761,0.07614213197969544,0.9375000000000001,1.2825520833333335,1.0,0.016774459532582664,4.30456852791879,0.2397790055248621,0.10344827586206898,0.7676886792452835,0.5208333333333334,0.007378144921700996
frozenset({'Class_Low'}),"frozenset({'Setting_Beach-Nurdle Patrol', 'Method_Hand picking'})",0.08121827411167512,0.7309644670050761,0.07614213197969544,0.9375000000000001,1.2825520833333335,1.0,0.016774459532582664,4.30456852791879,0.2397790055248621,0.10344827586206898,0.7676886792452835,0.5208333333333334,0.007378144921700996
frozenset({'Class_Medium'}),frozenset({'Setting_Ocean water'}),0.6446700507614214,0.25888324873096447,0.20812182741116753,0.3228346456692913,1.2470279450362822,1.0,0.04122755031049499,1.094439853618227,0.5574912891986064,0.29927007299270075,0.08629058354007117,0.5633781071483712,0.00176444867542318
frozenset({'Setting_Ocean water'}),frozenset({'Class_Medium'}),0.25888324873096447,0.6446700507614214,0.20812182741116753,0.803921568627451,1.2470279450362822,1.0,0.04122755031049499,1.8121827411167513,0.26729034413631814,0.29927007299270075,0.4481792717086835,0.5633781071483712,0.00176444867542318
