Actual_E_ms,Actual_N_ms,Pred_E_ms,Pred_N_ms,Error_KM_24h
-0.25703123,-0.0715168,-0.06251969,-0.065021835,16.815165
0.16224432,-0.13486391,-0.054875158,-0.05309849,20.045256
0.2562991,0.22680146,-0.064742535,-0.10062679,39.61956
-0.005387351,-0.09495973,-0.14883286,-0.065633535,12.650045
0.034039944,-0.07135298,0.06981304,0.13120529,17.771868
0.08722016,-0.12560046,-0.07932558,-0.036436576,16.321983
0.093803555,0.3936041,-0.12475161,-0.028887026,41.098175
-0.5176959,-0.18553084,-0.20688497,-0.12202538,27.408878
-0.61834776,-0.29065967,-0.20249647,-0.11733499,38.925453
-0.5578042,-0.38564998,-0.20070237,-0.11462203,38.7336
-0.61834776,-0.29065967,-0.2025033,-0.1173417,38.924683
0.2027928,0.09189425,-0.1537485,-0.066861264,33.720913
-1.1102021,0.23604769,-0.12133517,-0.030679394,88.49153
-0.04384178,0.32233608,0.047547072,0.13494432,18.013435
0.0066354424,0.06746111,-0.07276356,0.026167884,7.7323575
-0.33310306,-0.11237285,-0.19796073,-0.111417726,11.676589
-0.33310306,-0.11237285,-0.19796024,-0.11141716,11.676632
-0.33310306,-0.11237285,-0.19798353,-0.11144339,11.674603
-0.33310306,-0.11237285,-0.19758326,-0.11101119,11.709502
-0.4032163,-0.20608273,-0.20076977,-0.114559524,19.195797
-0.4032163,-0.20608273,-0.20030415,-0.11407083,19.249859
-0.34416014,-0.0012421682,-0.20265977,-0.116629675,15.77519
-0.34416014,-0.0012421682,-0.20289952,-0.116867274,15.772137
-0.34416014,-0.0012421682,-0.20288378,-0.116850816,15.772288
-0.16631362,-0.030456297,-0.20607199,-0.12027364,8.486523
-0.1709726,-0.25689468,-0.13802637,-0.057811346,17.434746
-0.120360106,-0.025954992,-0.20901896,-0.12411471,11.428248
-0.120360106,-0.025954992,-0.20901863,-0.1241144,11.42821
-0.120360106,-0.025954992,-0.20901927,-0.12411502,11.4282875
-0.120360106,-0.025954992,-0.20888348,-0.12397754,11.411608
-0.120360106,-0.025954992,-0.20899364,-0.12409306,11.425394
-0.120360106,-0.025954992,-0.20918459,-0.124267615,11.447644
-0.120360106,-0.025954992,-0.20922594,-0.12430891,11.452687
-0.120360106,-0.025954992,-0.2089995,-0.12409889,11.426107
-0.120360106,-0.025954992,-0.20922807,-0.12431089,11.452937
-0.120360106,-0.025954992,-0.20899767,-0.12409667,11.425859
-0.120360106,-0.025954992,-0.20918459,-0.124267615,11.447644
-0.120360106,-0.025954992,-0.20933598,-0.124407865,11.465405
-0.120360106,-0.025954992,-0.209336,-0.12440787,11.465407
-0.120360106,-0.025954992,-0.20933591,-0.12440783,11.465399
-0.120360106,-0.025954992,-0.20868628,-0.12379215,11.388302
-0.120360106,-0.025954992,-0.20868592,-0.1237918,11.388258
-0.120360106,-0.025954992,-0.2086864,-0.123792335,11.388319
-0.120360106,-0.025954992,-0.20868511,-0.12379097,11.388157
-0.19025497,-0.105188474,-0.21166581,-0.12698387,2.6397471
-0.19025497,-0.105188474,-0.21139789,-0.12676454,2.6100085
-0.19025497,-0.105188474,-0.21191949,-0.12724389,2.6711335
-0.19025497,-0.105188474,-0.21191947,-0.12724389,2.6711326
-0.19025497,-0.105188474,-0.21212876,-0.12747438,2.698011
-0.19025497,-0.105188474,-0.21195841,-0.1272874,2.6761718
-0.19025497,-0.105188474,-0.2118755,-0.1272307,2.6676579
-0.111092374,-0.10778919,-0.14268726,-0.06197849,4.8081093
-0.26412287,-0.23249719,-0.2148833,-0.13044134,9.790279
-0.26412287,-0.23249719,-0.2148833,-0.13044134,9.790279
-0.26412287,-0.23249719,-0.21457776,-0.13011643,9.827041
-0.111092374,-0.10778919,-0.20943153,-0.123855576,8.609152
-0.26412287,-0.23249719,-0.21546517,-0.13098244,9.726359
-0.26412287,-0.23249719,-0.21470322,-0.1302702,9.810361
-0.26412287,-0.23249719,-0.21488616,-0.13044477,9.7899065
-0.26412287,-0.23249719,-0.21488684,-0.13044542,9.789829
-0.26412287,-0.23249719,-0.21488822,-0.13044682,9.789668
-0.26412287,-0.23249719,-0.21459796,-0.13014996,9.823673
-0.16631362,-0.030456297,-0.20607199,-0.12027364,8.486523
-0.26412287,-0.23249719,-0.21473119,-0.13029632,9.807279
-0.25709412,-0.04587665,-0.21685272,-0.13259652,8.259996
-0.25701302,-0.010405667,-0.21649528,-0.13221532,11.0913105
0.25685963,-0.086407535,-0.21151671,-0.12678213,40.61779
0.25685963,-0.086407535,-0.21125683,-0.12654749,40.59368
0.25685963,-0.086407535,-0.2112227,-0.12651408,40.590496
