Actual_E_ms,Actual_N_ms,Pred_E_ms,Pred_N_ms,Error_KM_24h
-0.10950279,0.0153126195,-0.010104664,-0.07526107,11.618658
-0.18338853,0.33254415,-0.023156632,-0.075480774,37.874214
-0.108774036,-0.01803669,-0.015283946,-0.058850896,8.81373
0.0,0.009185411,0.02907937,-0.07751561,7.901079
-0.13194804,0.1195386,-0.025998283,-0.0635112,18.273668
-0.027041662,-0.101089686,-0.021175291,-0.07596527,2.2291377
-0.1373244,-0.119777404,-0.051082015,-0.06541059,8.808351
0.1622443,-0.13486391,-0.042146187,-0.077092506,18.351208
-0.41403273,0.055245392,-0.002399139,-0.07736671,37.365196
-0.055707924,-0.046256453,0.023094304,-0.07398663,7.2177644
0.25629908,0.2268014,0.024242714,-0.078918956,33.161743
0.17135298,0.02496785,0.06139119,-0.068012625,12.44189
0.20111659,0.027811408,0.07064213,-0.06947094,14.061567
-0.12561521,-0.105065815,0.21774644,-0.13193817,29.757162
0.24214819,-0.03599376,-0.100353,-0.06436113,29.69343
0.24214819,-0.03599376,-0.038796734,-0.0806131,24.577866
0.18055451,-0.1576707,0.03749697,-0.1110562,12.999791
0.18055451,-0.1576707,-0.05442296,-0.09591504,20.991497
-0.037339617,-0.10109559,-0.020700257,-0.08674145,1.8986576
0.07873593,-0.42851835,-0.07266226,-0.05679363,34.678673
0.06961739,-0.03666554,0.04760424,-0.115627944,7.0825024
0.15893117,-0.009223718,0.015937865,-0.108587384,15.044575
-0.072751254,-0.2421372,-0.0076469406,-0.10816715,12.86941
-0.0003546551,0.0,0.0596624,-0.03359012,5.942375
-0.00012786686,0.0,0.03819018,-0.032003462,4.3135104
-0.00012786686,0.0,0.07068057,-0.036264326,6.8735185
0.44024658,0.5115586,0.040139027,-0.032933872,58.379692
0.2157039,0.23446798,0.04141756,-0.032241605,27.527554
0.10021415,-0.065221876,0.0034376606,-0.031880848,8.843797
0.017975174,0.06447272,-0.024412498,-0.041247617,9.841071
0.08784905,-0.018356193,-0.0771161,-0.05805697,14.659931
-0.04965145,-0.08202041,0.0129207745,-0.034264743,6.8008857
0.103754014,0.192803,0.029852271,-0.027421165,20.070135
0.13102783,0.0018748231,-0.1585465,-0.08449274,26.108335
0.20857501,-0.21298215,-0.13116798,-0.07498835,31.682726
-0.3390041,0.22505262,-0.2108807,-0.10625732,30.691086
-0.3219787,0.10236638,-0.28428566,-0.1401672,21.206459
-0.20533693,-0.5957677,-0.14069983,-0.08332166,44.626156
-0.5176959,-0.18553084,-0.22184147,-0.112657264,26.325842
-0.5176959,-0.18553084,-0.22134662,-0.11243944,26.371857
-0.24431871,0.07028378,-0.18918699,-0.09541154,15.087737
0.37427568,-0.070147485,0.041353524,-0.015742157,29.146025
0.11971252,-0.107319035,0.022454493,-0.026882462,10.9046135
0.074425384,-0.2284745,-0.11819573,-0.064391464,21.862127
-0.39500242,-0.05842029,-0.074086234,-0.05316405,27.730879
-0.39500242,-0.05842029,-0.07395973,-0.053083222,27.74192
-0.39500242,-0.05842029,-0.074082784,-0.053161956,27.73118
-0.04384178,0.32233605,-0.11834114,-0.06640232,34.198215
0.36263955,-0.10297255,0.014489211,-0.026883818,30.790195
0.2529768,-0.059539907,-0.07039679,-0.049466234,27.953032
0.34101775,0.27407724,0.05294755,-0.017073315,35.387424
-0.1676929,-0.056646902,-0.084128544,-0.055283297,7.2209215
-0.089288175,0.10852278,-0.0980425,-0.059677035,14.552133
-0.1676929,-0.056646902,-0.19708467,-0.09825723,4.401565
0.03401459,0.24963248,-0.1140529,-0.06450454,30.00532
0.5083176,-0.21370131,0.03439173,-0.017933521,44.30313
-0.08852399,-0.2226738,0.0018078387,-0.02555976,18.733822
-0.08852399,-0.2226738,0.0018078387,-0.02555976,18.733822
-0.1676929,-0.056646902,-0.08385436,-0.05519004,7.2447433
-0.1676929,-0.056646902,-0.08385436,-0.05519004,7.2447433
0.0798458,-0.122962326,0.008682951,-0.030659536,10.069941
0.5036442,0.22590554,0.056764647,-0.01474195,43.852795
0.18668762,-0.17572719,0.129332,0.006977044,16.545208
-0.086174965,-0.016792811,-0.06264018,-0.05436504,3.830511
-0.033245154,0.17550159,-0.133856,-0.074560635,23.288553
-0.33310306,-0.112372845,-0.12892509,-0.07289497,17.9677
-0.33310306,-0.112372845,-0.12885304,-0.07286614,17.974283
-0.33310306,-0.112372845,-0.12971056,-0.073209725,17.895912
-0.33310306,-0.112372845,-0.19013885,-0.09382037,12.45568
-0.33310306,-0.112372845,-0.19013885,-0.09382037,12.45568
-0.33310306,-0.112372845,-0.19013885,-0.09382037,12.45568
-0.4032163,-0.20608273,-0.12634033,-0.072250806,26.570114
-0.120360106,-0.025954992,-0.12153897,-0.072935656,4.060407
-0.120360106,-0.025954992,-0.11051765,-0.06856235,3.7782207
-0.120360106,-0.025954992,-0.11052096,-0.06856439,3.7783282
-0.120360106,-0.025954992,-0.110519014,-0.0685632,3.778266
-0.120360106,-0.025954992,-0.12166542,-0.07298699,4.0651293
-0.120360106,-0.025954992,-0.17631838,-0.09641068,7.773759
-0.120360106,-0.025954992,-0.11052188,-0.06856497,3.7783585
-0.2075172,0.41800117,-0.16522881,-0.09070662,44.103954
-0.120360106,-0.025954992,-0.1105234,-0.06856589,3.7784066
-0.120360106,-0.025954992,-0.12337047,-0.07367007,4.1307793
-0.120360106,-0.025954992,-0.110523775,-0.06856614,3.778421
-0.120360106,-0.025954992,-0.110523775,-0.06856614,3.778421
-0.120360106,-0.025954992,-0.11052339,-0.068565905,3.7784085
-0.120360106,-0.025954992,-0.11052379,-0.06856616,3.7784219
-0.19025497,-0.10518847,-0.11600875,-0.071350306,7.0496907
-0.26412287,-0.23249716,-0.16499823,-0.09295075,14.789019
-0.26412287,-0.23249716,-0.10837113,-0.06875698,19.525148
-0.19025497,-0.10518847,-0.11634785,-0.071849555,7.005194
-0.26412287,-0.23249716,-0.16499823,-0.09295075,14.789019
-0.26412287,-0.23249716,-0.11579679,-0.07220146,18.869123
-0.26412287,-0.23249716,-0.15129384,-0.0871465,15.897882
-0.26412287,-0.23249716,-0.10595841,-0.068086065,19.711134
-0.26412287,-0.23249716,-0.12157668,-0.07461838,18.378061
-0.26412287,-0.23249716,-0.16499823,-0.09295075,14.789019
-0.26412287,-0.23249716,-0.16499823,-0.09295075,14.789019
-0.26412287,-0.23249716,-0.16499823,-0.09295075,14.789019
-0.26412287,-0.23249716,-0.10837113,-0.06875698,19.525148
-0.26412287,-0.23249716,-0.10837113,-0.06875698,19.525148
-0.26412287,-0.23249716,-0.10837113,-0.06875698,19.525148
-0.19025497,-0.10518847,-0.11402168,-0.07050522,7.2361956
-0.26412287,-0.23249716,-0.10865976,-0.06887279,19.500715
