Actual_E,Actual_N,Pred_E,Pred_N,Error_KM
0.60251087,1.7356353,0.80540365,1.3859586,45.004032
-0.14710496,1.5560925,0.80540365,1.3859586,107.71142
-0.7486227,0.98153067,-0.106995754,1.0290879,71.62184
-0.20264336,1.3432021,-0.106995754,1.0290879,36.55234
-1.0094883,-0.6981769,-0.8691669,0.21587053,102.94379
1.0403607,1.4267279,0.80540365,1.3859586,26.54625
-0.6845515,1.097706,-0.106995754,1.0290879,64.745674
-0.37295055,-0.15577884,-0.03407816,0.103035375,47.46715
-0.18966207,1.1378387,-0.106995754,1.0290879,15.206679
0.49394652,0.5318514,-0.03407816,0.103035375,75.721596
0.91557485,-0.7895322,-0.03407816,0.103035375,145.08023
0.60584766,1.4543889,0.80540365,1.3859586,23.484377
-0.8518665,-0.023191467,-0.8691669,0.21587053,26.681976
-0.6576665,0.27789393,-0.8691669,0.21587053,24.535728
0.26775298,0.8155323,-0.106995754,1.0290879,48.01527
0.7780121,1.878253,0.80540365,1.3859586,54.88698
-0.8884173,-0.41657233,-0.8691669,0.21587053,70.43614
-0.41636416,-0.23947032,-0.03407816,0.103035375,57.13794
0.6509913,0.8252628,0.80540365,1.3859586,64.7403
0.77112776,1.3143039,0.80540365,1.3859586,8.842221
-0.44491974,0.46859574,-0.106995754,1.0290879,72.85671
