Actual_E_ms,Actual_N_ms,Pred_E_ms,Pred_N_ms,Error_KM_24h
0.24214819,-0.035993762,0.08541303,-0.06732367,13.80981
0.18055451,-0.1576707,0.11110822,-0.15032405,6.033641
-0.005387351,-0.09495973,0.012093507,-0.08669123,1.6707813
-0.005387351,-0.09495973,-0.03296265,-0.083725944,2.5726244
0.15893117,-0.009223722,0.11706153,-0.15126693,12.794595
0.27290055,-0.102148935,0.10678593,-0.14576487,14.838786
3.6098063e-05,0.19220164,-0.0064312443,0.026465997,14.330458
-0.06809988,0.053487368,-0.013837993,-0.002177164,6.716394
-0.06809988,0.053487368,-0.0075637177,0.007475145,6.5696683
-0.06809988,0.053487368,-0.006799586,0.010750823,6.456421
0.44333768,-0.08787149,-0.0028225705,0.020206295,39.66313
-7.959455e-05,0.0,0.041790344,0.06598248,6.7518053
-7.959455e-05,0.0,0.045963533,0.06560787,6.9251432
0.08784906,-0.018356193,0.008946262,-0.07186826,8.23714
-0.3575457,-0.20838189,0.06733028,-0.08683115,38.181976
0.1498504,-0.07520206,0.028426759,-0.07803269,10.493853
-0.06910605,-0.09193787,0.0035801232,-0.08173119,6.3416986
-0.64625144,0.04466945,-0.2585192,-0.10830224,36.013012
-0.4187887,0.071877636,-0.25240692,-0.107772216,21.156002
-0.9677735,-0.2648587,-0.17839754,-0.10342434,69.61371
-0.7358618,-0.13271269,-0.22316232,-0.106024526,44.35721
-0.9677735,-0.2648587,-0.17843516,-0.103430554,69.61042
0.05891291,0.2402263,-0.044675536,-0.10257599,30.94085
0.37427565,-0.07014749,-0.030172363,-0.094504334,35.007618
-0.7193341,-0.15431517,-0.2132026,-0.103400774,43.95047
-0.026445486,0.1379591,0.029993169,-0.08079699,19.51943
-0.04384177,0.32233608,0.028273486,-0.08233859,35.514732
0.046153955,0.04632073,0.13496017,-0.072813734,12.838344
0.021757908,-0.0013702363,-0.02895812,-0.09294301,9.044264
-0.33310306,-0.112372845,-0.23167893,-0.09949085,8.833445
-0.34416014,-0.0012421682,-0.22895092,-0.101589546,13.200484
-0.120360106,-0.025954992,-0.026281103,-0.09654124,10.161932
-0.120360106,-0.025954992,-0.18600583,-0.10588554,8.936556
-0.120360106,-0.025954992,-0.18600583,-0.10588554,8.936556
-0.120360106,-0.025954992,-0.1860546,-0.10587938,8.93882
-0.120360106,-0.025954992,-0.18605414,-0.1058799,8.938829
-0.120360106,-0.025954992,-0.1860683,-0.105874516,8.939246
-0.120360106,-0.025954992,-0.18606058,-0.10587752,8.939023
-0.120360106,-0.025954992,-0.1860438,-0.10588029,8.938288
-0.111092374,-0.10778919,-0.21529046,-0.10400053,9.008664
-0.19025496,-0.105188474,-0.17845243,-0.10719644,1.0343907
-0.19025496,-0.105188474,-0.17885984,-0.10691472,0.99577075
-0.26412287,-0.23249719,-0.17230868,-0.10839652,13.33777
-0.19025496,-0.105188474,-0.17902662,-0.107365035,0.9881871
-0.26412287,-0.23249719,-0.17230868,-0.10839652,13.33777
-0.26412287,-0.23249719,-0.17231204,-0.1084006,13.337316
-0.26412287,-0.23249719,-0.1723177,-0.108402885,13.336865
-0.26412287,-0.23249719,-0.1723122,-0.1084007,13.337299
-0.26412287,-0.23249719,-0.1723153,-0.10840182,13.337063
-0.26412287,-0.23249719,-0.17230868,-0.10839652,13.33777
-0.26412287,-0.23249719,-0.17230868,-0.10839652,13.33777
-0.26412287,-0.23249719,-0.17230868,-0.10839652,13.33777
-0.26412287,-0.23249719,-0.17685507,-0.108279556,13.116217
-0.26412287,-0.23249719,-0.17676696,-0.10826367,13.1217165
-0.26412287,-0.23249719,-0.17215562,-0.10794268,13.377165
-0.26412287,-0.23249719,-0.17230356,-0.10838097,13.339114
-0.26412287,-0.23249719,-0.17204478,-0.10813265,13.36966
-0.19025496,-0.105188474,-0.17863892,-0.107018486,1.016004
-0.19025496,-0.105188474,-0.17902237,-0.107363805,0.9885271
-0.26412287,-0.23249719,-0.17218891,-0.1081615,13.36025
-0.111092374,-0.10778919,-0.22063276,-0.10410992,9.469626
-0.26412287,-0.23249719,-0.17702094,-0.10832441,13.104812
-0.26412287,-0.23249719,-0.17695287,-0.1083052,13.109548
-0.26412287,-0.23249719,-0.17685507,-0.108279556,13.116217
-0.26412287,-0.23249719,-0.17229791,-0.10839568,13.338383
-0.26412287,-0.23249719,-0.1722993,-0.1083961,13.338283
-0.26412287,-0.23249719,-0.17230053,-0.10839685,13.338166
-0.26412287,-0.23249719,-0.17231059,-0.10840028,13.337411
-0.26412287,-0.23249719,-0.17229831,-0.10839543,13.338379
-0.26412287,-0.23249719,-0.17229876,-0.10839617,13.3383045
-0.26412287,-0.23249719,-0.17230025,-0.10839676,13.338186
-0.26412287,-0.23249719,-0.17230529,-0.1083985,13.337808
-0.26412287,-0.23249719,-0.1723134,-0.108401276,13.337197
-0.26412287,-0.23249719,-0.17229702,-0.108395524,13.338439
-0.26412287,-0.23249719,-0.1723177,-0.108402885,13.336865
-0.19025496,-0.105188474,-0.1790249,-0.107364334,0.98832095
-0.26412287,-0.23249719,-0.17216347,-0.10798757,13.373643
-0.26412287,-0.23249719,-0.17189305,-0.10805881,13.382591
-0.26412287,-0.23249719,-0.1770568,-0.108329274,13.102688
-0.26412287,-0.23249719,-0.1770672,-0.10833741,13.101596
-0.33098474,-0.26213348,-0.1761749,-0.10883176,18.824001
-0.33098474,-0.26213348,-0.17610344,-0.10876278,18.832582
-0.33098474,-0.26213348,-0.17607835,-0.1087383,18.83561
-0.33098474,-0.26213348,-0.16686402,-0.10927694,19.37764
-0.33098474,-0.26213348,-0.17558359,-0.108657494,18.870914
-0.26412287,-0.23249719,-0.17231204,-0.1084006,13.337316
0.021600671,-0.07243218,-0.16554123,-0.11002525,16.492067
0.25685966,-0.086407535,-0.18984704,-0.10869183,38.64345
-0.16631362,-0.0304563,-0.22152847,-0.10213989,7.817752
-0.05119151,0.080999784,-0.25958976,-0.10350254,24.048233
