antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,fisher_p_value
frozenset({'Class_Very High'}),frozenset({'Region_73'}),0.010309278350515464,0.010309278350515464,0.010309278350515464,1.0,97.0,1.0,0.010202997130407057,inf,1.0,1.0,1.0,1.0,0.010309278350515464
frozenset({'Region_73'}),frozenset({'Class_Very High'}),0.010309278350515464,0.010309278350515464,0.010309278350515464,1.0,97.0,1.0,0.010202997130407057,inf,1.0,1.0,1.0,1.0,0.010309278350515464
"frozenset({'Class_Low', 'Setting_Ocean sediment'})",frozenset({'Region_2'}),0.010309278350515464,0.010309278350515464,0.010309278350515464,1.0,97.0,1.0,0.010202997130407057,inf,1.0,1.0,1.0,1.0,0.010309278350515464
frozenset({'Region_2'}),"frozenset({'Class_Low', 'Setting_Ocean sediment'})",0.010309278350515464,0.010309278350515464,0.010309278350515464,1.0,97.0,1.0,0.010202997130407057,inf,1.0,1.0,1.0,1.0,0.010309278350515464
"frozenset({'Class_Low', 'Method_Day grab'})",frozenset({'Region_2'}),0.010309278350515464,0.010309278350515464,0.010309278350515464,1.0,97.0,1.0,0.010202997130407057,inf,1.0,1.0,1.0,1.0,0.010309278350515464
frozenset({'Region_2'}),"frozenset({'Class_Low', 'Method_Day grab'})",0.010309278350515464,0.010309278350515464,0.010309278350515464,1.0,97.0,1.0,0.010202997130407057,inf,1.0,1.0,1.0,1.0,0.010309278350515464
frozenset({'Region_15'}),"frozenset({'Class_Medium', 'Method_Day grab'})",0.010309278350515464,0.010309278350515464,0.010309278350515464,1.0,97.0,1.0,0.010202997130407057,inf,1.0,1.0,1.0,1.0,0.010309278350515464
"frozenset({'Class_Medium', 'Method_Day grab'})",frozenset({'Region_15'}),0.010309278350515464,0.010309278350515464,0.010309278350515464,1.0,97.0,1.0,0.010202997130407057,inf,1.0,1.0,1.0,1.0,0.010309278350515464
frozenset({'Region_73'}),"frozenset({'Setting_Beach-Nurdle Patrol', 'Method_Hand picking', 'Class_Very High'})",0.010309278350515464,0.010309278350515464,0.010309278350515464,1.0,97.0,1.0,0.010202997130407057,inf,1.0,1.0,1.0,1.0,0.010309278350515464
"frozenset({'Setting_Beach-Nurdle Patrol', 'Class_Very High'})","frozenset({'Region_73', 'Method_Hand picking'})",0.010309278350515464,0.010309278350515464,0.010309278350515464,1.0,97.0,1.0,0.010202997130407057,inf,1.0,1.0,1.0,1.0,0.010309278350515464
frozenset({'Region_2'}),"frozenset({'Class_Low', 'Method_Day grab', 'Setting_Ocean sediment'})",0.010309278350515464,0.010309278350515464,0.010309278350515464,1.0,97.0,1.0,0.010202997130407057,inf,1.0,1.0,1.0,1.0,0.010309278350515464
"frozenset({'Class_Medium', 'Setting_Ocean sediment', 'Method_Day grab'})",frozenset({'Region_15'}),0.010309278350515464,0.010309278350515464,0.010309278350515464,1.0,97.0,1.0,0.010202997130407057,inf,1.0,1.0,1.0,1.0,0.010309278350515464
frozenset({'Region_73'}),"frozenset({'Setting_Beach-Nurdle Patrol', 'Class_Very High'})",0.010309278350515464,0.010309278350515464,0.010309278350515464,1.0,97.0,1.0,0.010202997130407057,inf,1.0,1.0,1.0,1.0,0.010309278350515464
frozenset({'Class_Very High'}),"frozenset({'Setting_Beach-Nurdle Patrol', 'Region_73'})",0.010309278350515464,0.010309278350515464,0.010309278350515464,1.0,97.0,1.0,0.010202997130407057,inf,1.0,1.0,1.0,1.0,0.010309278350515464
"frozenset({'Setting_Beach-Nurdle Patrol', 'Region_73'})",frozenset({'Class_Very High'}),0.010309278350515464,0.010309278350515464,0.010309278350515464,1.0,97.0,1.0,0.010202997130407057,inf,1.0,1.0,1.0,1.0,0.010309278350515464
"frozenset({'Setting_Beach-Nurdle Patrol', 'Class_Very High'})",frozenset({'Region_73'}),0.010309278350515464,0.010309278350515464,0.010309278350515464,1.0,97.0,1.0,0.010202997130407057,inf,1.0,1.0,1.0,1.0,0.010309278350515464
"frozenset({'Class_Medium', 'Setting_Ocean sediment'})",frozenset({'Region_15'}),0.010309278350515464,0.010309278350515464,0.010309278350515464,1.0,97.0,1.0,0.010202997130407057,inf,1.0,1.0,1.0,1.0,0.010309278350515464
frozenset({'Region_15'}),"frozenset({'Class_Medium', 'Setting_Ocean sediment'})",0.010309278350515464,0.010309278350515464,0.010309278350515464,1.0,97.0,1.0,0.010202997130407057,inf,1.0,1.0,1.0,1.0,0.010309278350515464
