Actual_E,Actual_N,Pred_E,Pred_N,Error_KM
0.24214819,-0.03599376,-0.011480615,-0.22370063,35.1252
0.18055452,-0.1576707,0.18510096,0.039856642,21.994568
-0.0053873495,-0.09495973,0.030111566,0.16868316,29.613575
-0.0053873495,-0.09495973,0.030111566,0.16868316,29.613575
0.15893115,-0.009223719,0.14856279,0.028965898,4.405164
0.27290052,-0.10214893,0.18510096,0.039856642,18.585554
3.6091205e-05,0.19220164,0.016525827,-0.46629167,73.326454
-0.06809988,0.05348737,0.17860493,-0.20844613,40.05547
-0.06809988,0.05348737,0.17860493,-0.20844613,40.05547
-0.06809988,0.05348737,0.17860493,-0.20844613,40.05547
0.4433377,-0.08787149,0.03973221,-0.06681779,44.99045
-7.9594545e-05,1.0610529e-10,-0.016775891,-0.06470505,7.4389
-7.9594545e-05,1.0610529e-10,0.03226486,-0.02988381,4.9021335
0.08784905,-0.018356193,0.17197613,-0.04320425,9.764986
-0.3575457,-0.20838189,0.1752765,0.037345767,65.31758
0.1498504,-0.07520206,-0.06828058,0.12263708,32.782078
-0.06910605,-0.09193787,-0.1470887,0.1670581,30.109991
-0.64625144,0.044669446,-0.22760618,-0.15392521,51.581383
-0.4187887,0.07187765,-0.23179641,-0.15894167,33.068535
-0.9677735,-0.2648587,-0.1164556,-0.022716261,98.52763
-0.7358618,-0.13271269,-0.22721109,-0.15466902,56.675716
-0.9677735,-0.2648587,-0.1164556,-0.022716261,98.52763
0.05891291,0.2402263,-0.23105821,0.118034035,35.02853
0.37427565,-0.07014749,0.28393647,0.09453522,20.909666
-0.7193341,-0.15431517,-0.13561317,-0.041227505,66.18804
-0.026445493,0.13795908,-0.1356132,-0.04122749,23.357424
-0.04384178,0.32233608,0.14097947,0.06431371,35.33151
0.046153955,0.04632072,0.10890004,-0.022261083,10.3476925
0.021757912,-0.0013702345,0.112679765,-0.013618812,10.21285
-0.33310306,-0.11237285,-0.22256139,-0.14250627,12.754516
-0.34416014,-0.0012421679,-0.22102585,-0.13826671,20.507605
-0.120360106,-0.025954993,-0.22395968,-0.15499043,18.421028
-0.120360106,-0.025954993,-0.21889302,-0.13241914,16.148441
-0.120360106,-0.025954993,-0.21889302,-0.13241914,16.148441
-0.120360106,-0.025954993,-0.20806518,-0.10300757,12.995998
-0.120360106,-0.025954993,-0.20806524,-0.103007555,12.996003
-0.120360106,-0.025954993,-0.20806524,-0.10300757,12.996003
-0.120360106,-0.025954993,-0.20806524,-0.103007555,12.996003
-0.120360106,-0.025954993,-0.20806521,-0.103007555,12.996
-0.111092374,-0.10778919,-0.22190335,-0.14069213,12.867781
-0.19025497,-0.10518847,-0.23448202,-0.12471166,5.3817058
-0.19025497,-0.10518847,-0.22253099,-0.14279974,5.517194
-0.26412287,-0.23249717,-0.22512189,-0.15314382,9.842873
-0.19025497,-0.10518847,-0.22395965,-0.15499046,6.6942525
-0.26412287,-0.23249717,-0.22512189,-0.15314382,9.842873
-0.26412287,-0.23249717,-0.22073123,-0.15920542,9.481507
-0.26412287,-0.23249717,-0.22131503,-0.15824386,9.541147
-0.26412287,-0.23249717,-0.2255769,-0.15062657,10.073437
-0.26412287,-0.23249717,-0.22135153,-0.15819164,9.544156
-0.26412287,-0.23249717,-0.22512189,-0.15314382,9.842873
-0.26412287,-0.23249717,-0.22512189,-0.15314382,9.842873
-0.26412287,-0.23249717,-0.22512189,-0.15314382,9.842873
-0.26412287,-0.23249717,-0.23555604,-0.1124703,13.7346115
-0.26412287,-0.23249717,-0.23598936,-0.109765634,14.01683
-0.26412287,-0.23249717,-0.22391611,-0.15467125,9.751439
-0.26412287,-0.23249717,-0.22495154,-0.15341452,9.824241
-0.26412287,-0.23249717,-0.21969041,-0.13557893,11.868711
-0.19025497,-0.10518847,-0.19810161,-0.15565322,5.68524
-0.19025497,-0.10518847,-0.2239596,-0.1549904,6.6942434
-0.26412287,-0.23249717,-0.22367013,-0.15459864,9.771212
-0.111092374,-0.10778919,-0.22834292,-0.15458907,14.053646
-0.26412287,-0.23249717,-0.23486516,-0.10898988,14.129339
-0.26412287,-0.23249717,-0.23332682,-0.124682456,12.481951
-0.26412287,-0.23249717,-0.23555607,-0.11247033,13.734608
-0.26412287,-0.23249717,-0.22395965,-0.15499046,9.717651
-0.26412287,-0.23249717,-0.22395965,-0.15499045,9.717653
-0.26412287,-0.23249717,-0.22509912,-0.15325978,9.832409
-0.26412287,-0.23249717,-0.22509989,-0.15325865,9.832484
-0.26412287,-0.23249717,-0.22395965,-0.15499043,9.717655
-0.26412287,-0.23249717,-0.22512272,-0.15322396,9.834826
-0.26412287,-0.23249717,-0.22510985,-0.15324363,9.833495
-0.26412287,-0.23249717,-0.22508848,-0.15327588,9.831326
-0.26412287,-0.23249717,-0.22081852,-0.15909146,9.487485
-0.26412287,-0.23249717,-0.22395968,-0.15499046,9.717649
-0.26412287,-0.23249717,-0.22131503,-0.15824386,9.541147
-0.19025497,-0.10518847,-0.2206848,-0.15926597,6.9075384
-0.26412287,-0.23249717,-0.22387713,-0.15431325,9.788849
-0.26412287,-0.23249717,-0.19597456,-0.15364854,11.601498
-0.26412287,-0.23249717,-0.22716472,-0.15373927,9.684655
-0.26412287,-0.23249717,-0.22720042,-0.1537503,9.681857
-0.33098474,-0.26213348,-0.2331892,-0.16302375,15.499768
-0.33098474,-0.26213348,-0.23296657,-0.16255201,15.554566
-0.33098474,-0.26213348,-0.23281363,-0.16043755,15.735005
-0.33098474,-0.26213348,-0.22081852,-0.15909146,16.79208
-0.33098474,-0.26213348,-0.24045748,-0.13166253,17.677761
-0.26412287,-0.23249717,-0.22073123,-0.15920542,9.481507
0.02160067,-0.07243218,-0.22477916,-0.14847828,28.703733
0.25685963,-0.086407535,-0.17697367,-0.10014908,48.318542
-0.16631362,-0.0304563,0.13252318,0.056359425,34.641884
-0.05119151,0.08099978,0.023806468,0.05640392,8.786282
