Actual_E,Actual_N,Pred_E,Pred_N,Error_KM
-0.0060660066,0.97835106,-0.13533308,1.0291346,15.460639
-0.09941496,1.1328734,-0.13533308,1.0291346,12.22081
0.7538135,0.8169323,-0.056767203,0.05176807,124.08647
-1.0094883,-0.6981769,-0.82247174,0.20533477,102.710945
-0.9713659,0.17318015,-0.056767203,0.05176807,102.70629
-0.49839696,0.3050725,-0.056767203,0.05176807,56.67489
-0.6845515,1.097706,-0.13533308,1.0291346,61.613674
1.5531299,1.4157708,0.7090186,1.4147112,93.966545
-0.18966207,1.1378387,-0.13533308,1.0291346,13.528114
0.49394652,0.5318514,-0.056767203,0.05176807,81.329575
0.91557485,-0.7895322,-0.056767203,0.05176807,143.13324
1.3183519,1.0792819,0.7090186,1.4147112,77.42943
-0.13915326,-0.27370387,-0.056767203,0.05176807,37.37426
-1.5679824,0.29623207,-0.82247174,0.20533477,83.604836
0.42246133,0.11453695,-0.10571268,0.13337862,58.833733
-1.2356639,0.37223074,-0.82247174,0.20533477,49.607025
-0.30101472,0.22348452,-0.82247174,0.20533477,58.083744
-1.149625,-0.21772859,-0.82247174,0.20533477,59.534016
-0.76703936,-0.20909052,-0.82247174,0.20533477,46.54468
-0.44491974,0.46859574,-0.13533308,1.0291346,71.28373
-0.047104843,-0.10908707,-0.056767203,0.05176807,17.938671
