antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,fisher_p_value
frozenset({'Class_Very Low'}),frozenset({'Region_24'}),0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,36.0,1.0,0.02700617283950617,inf,1.0,1.0,1.0,1.0,0.027777777777777776
frozenset({'Region_24'}),frozenset({'Class_Very Low'}),0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,36.0,1.0,0.02700617283950617,inf,1.0,1.0,1.0,1.0,0.027777777777777776
"frozenset({'Class_Low', 'Setting_Ocean sediment'})",frozenset({'Region_1'}),0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,36.0,1.0,0.02700617283950617,inf,1.0,1.0,1.0,1.0,0.027777777777777776
frozenset({'Region_1'}),"frozenset({'Class_Low', 'Setting_Ocean sediment'})",0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,36.0,1.0,0.02700617283950617,inf,1.0,1.0,1.0,1.0,0.027777777777777776
frozenset({'Region_14'}),"frozenset({'Class_High', 'Method_Manta net'})",0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,36.0,1.0,0.02700617283950617,inf,1.0,1.0,1.0,1.0,0.027777777777777776
"frozenset({'Class_High', 'Method_Manta net'})",frozenset({'Region_14'}),0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,36.0,1.0,0.02700617283950617,inf,1.0,1.0,1.0,1.0,0.027777777777777776
"frozenset({'Setting_Beach-Nurdle Patrol', 'Region_24', 'Method_Hand picking'})",frozenset({'Class_Very Low'}),0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,36.0,1.0,0.02700617283950617,inf,1.0,1.0,1.0,1.0,0.027777777777777776
"frozenset({'Setting_Beach-Nurdle Patrol', 'Class_Very Low', 'Method_Hand picking'})",frozenset({'Region_24'}),0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,36.0,1.0,0.02700617283950617,inf,1.0,1.0,1.0,1.0,0.027777777777777776
"frozenset({'Class_Medium', 'Setting_Ocean sediment', 'Method_Day grab'})",frozenset({'Region_7'}),0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,36.0,1.0,0.02700617283950617,inf,1.0,1.0,1.0,1.0,0.027777777777777776
"frozenset({'Setting_Ocean sediment', 'Region_7'})","frozenset({'Class_Medium', 'Method_Day grab'})",0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,36.0,1.0,0.02700617283950617,inf,1.0,1.0,1.0,1.0,0.027777777777777776
frozenset({'Region_1'}),"frozenset({'Class_Low', 'Method_Day grab'})",0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,36.0,1.0,0.02700617283950617,inf,1.0,1.0,1.0,1.0,0.027777777777777776
"frozenset({'Class_Low', 'Method_Day grab'})",frozenset({'Region_1'}),0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,36.0,1.0,0.02700617283950617,inf,1.0,1.0,1.0,1.0,0.027777777777777776
frozenset({'Region_14'}),"frozenset({'Class_High', 'Setting_Ocean water'})",0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,36.0,1.0,0.02700617283950617,inf,1.0,1.0,1.0,1.0,0.027777777777777776
"frozenset({'Class_High', 'Setting_Ocean water'})",frozenset({'Region_14'}),0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,36.0,1.0,0.02700617283950617,inf,1.0,1.0,1.0,1.0,0.027777777777777776
"frozenset({'Class_Medium', 'Method_Day grab'})",frozenset({'Region_7'}),0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,36.0,1.0,0.02700617283950617,inf,1.0,1.0,1.0,1.0,0.027777777777777776
frozenset({'Region_7'}),"frozenset({'Class_Medium', 'Method_Day grab'})",0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,36.0,1.0,0.02700617283950617,inf,1.0,1.0,1.0,1.0,0.027777777777777776
frozenset({'Region_7'}),"frozenset({'Class_Medium', 'Setting_Ocean sediment'})",0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,36.0,1.0,0.02700617283950617,inf,1.0,1.0,1.0,1.0,0.027777777777777776
"frozenset({'Class_Medium', 'Setting_Ocean sediment'})",frozenset({'Region_7'}),0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,36.0,1.0,0.02700617283950617,inf,1.0,1.0,1.0,1.0,0.027777777777777776
"frozenset({'Class_Very Low', 'Method_Hand picking'})",frozenset({'Region_24'}),0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,36.0,1.0,0.02700617283950617,inf,1.0,1.0,1.0,1.0,0.027777777777777776
