Actual_E,Actual_N,Pred_E,Pred_N,Error_KM
0.24214819,-0.03599376,-0.12358268,-0.07474769,40.94109
0.18055452,-0.1576707,-0.12358268,-0.07474769,35.09241
-0.0053873495,-0.09495973,-0.12358268,-0.07474769,13.348499
-0.0053873495,-0.09495973,-0.12358268,-0.07474769,13.348499
0.15893115,-0.009223719,-0.12358268,-0.07474769,32.284233
0.27290052,-0.10214893,-0.12358268,-0.07474769,44.24179
3.6091205e-05,0.19220164,-0.12358268,-0.07474769,32.748436
-0.06809988,0.05348737,-0.12358268,-0.07474769,15.553987
-0.06809988,0.05348737,-0.12358268,-0.07474769,15.553987
-0.06809988,0.05348737,-0.12358268,-0.07474769,15.553987
0.4433377,-0.08787149,-0.12358268,-0.07474769,63.126484
-7.9594545e-05,1.0610529e-10,-0.12358268,-0.07474769,16.070316
-7.9594545e-05,1.0610529e-10,-0.12358268,-0.07474769,16.070316
0.08784905,-0.018356193,-0.12358268,-0.07474769,24.359344
-0.3575457,-0.20838189,-0.12358268,-0.07474769,29.993828
0.1498504,-0.07520206,-0.12358268,-0.07474769,30.438614
-0.06910605,-0.09193787,-0.12358268,-0.07474769,6.3590965
-0.64625144,0.044669446,-0.12358268,-0.07474769,59.682793
-0.4187887,0.07187765,-0.12358268,-0.07474769,36.69266
-0.9677735,-0.2648587,-0.12358268,-0.07474769,96.32882
-0.7358618,-0.13271269,-0.12358268,-0.07474769,68.46367
-0.9677735,-0.2648587,-0.12358268,-0.07474769,96.32882
0.05891291,0.2402263,-0.12358268,-0.07474769,40.523117
0.37427565,-0.07014749,-0.12358268,-0.07474769,55.423958
-0.7193341,-0.15431517,-0.12358268,-0.07474769,66.90793
-0.026445493,0.13795908,-0.12358268,-0.07474769,26.03075
-0.04384178,0.32233608,-0.12358268,-0.07474769,45.085857
0.046153955,0.04632072,-0.12358268,-0.07474769,23.209108
0.021757912,-0.0013702345,-0.12358268,-0.07474769,18.124367
-0.33310306,-0.11237285,-0.12358268,-0.07474769,23.696898
-0.34416014,-0.0012421679,-0.12358268,-0.07474769,25.882193
-0.120360106,-0.025954993,-0.12358268,-0.07474769,5.4434366
-0.120360106,-0.025954993,-0.12358268,-0.07474769,5.4434366
-0.120360106,-0.025954993,-0.12358268,-0.07474769,5.4434366
-0.120360106,-0.025954993,-0.12358268,-0.07474769,5.4434366
-0.120360106,-0.025954993,-0.12358268,-0.07474769,5.4434366
-0.120360106,-0.025954993,-0.12358268,-0.07474769,5.4434366
-0.120360106,-0.025954993,-0.12358268,-0.07474769,5.4434366
-0.120360106,-0.025954993,-0.12358268,-0.07474769,5.4434366
-0.111092374,-0.10778919,-0.12358268,-0.07474769,3.9322102
-0.19025497,-0.10518847,-0.12358268,-0.07474769,8.158955
-0.19025497,-0.10518847,-0.12358268,-0.07474769,8.158955
-0.26412287,-0.23249717,-0.12358268,-0.07474769,23.518951
-0.19025497,-0.10518847,-0.12358268,-0.07474769,8.158955
